P/bar	ice12111	iceXI	iceII	iceIX	iceXIII	iceXIV	iceXV	iceLTA	iceMAR	iceNON	icei	ice0	iceACO	iceBSV	iceDOH	ice11215848	ice12232449	ice14427301	ice15124949650	ice1532155471	ice16927915	ice17625256	ice20228176	ice533726600	ice582511	ice6128842	ice6721563	ice8421419	icePCOD8007225	icePCOD8036144	icePCOD8047078	icePCOD8047931	icePCOD8204698	icePCOD8301974	icePCOD8321499	icePCOD8324623	iceIc	iceIh	iceIII	iceIV	iceV	liquid	iceVIII	iceVII	iceVI	iceIII-part	iceV-part
0	-9.07492271918268	-6.8906964829749	0.	5.590133310638013	9.499303333892328	17.072523505687574	11.955883322463821	NaN	33.08692222208666	19.277194352790517	3.5998856316982986	NaN	44.36904269051216	NaN	16.2006292675023	NaN	NaN	9.725398352756082	NaN	4.5490723611561	NaN	39.49839054338826	NaN	NaN	NaN	12.137844304924084	NaN	NaN	14.314501906778617	16.485121026795067	NaN	NaN	14.143380619537925	NaN	9.662189959632483	19.191508357596767	-9.681142183512005	-9.079990771634431	3.5861153900950296	NaN	8.304580243651277	NaN	NaN	NaN	19.898981147053604	5.228740037860538	11.210787732019039
50	-8.861387334023858	-6.6726581232570945	0.	5.61637794361607	9.467474691950144	17.024492048710314	11.902950299942992	NaN	33.674095669893376	19.698571580975553	3.877991247684867	NaN	45.120401403345184	NaN	16.647367392174953	NaN	NaN	10.063301439053788	NaN	4.644404676725423	NaN	40.053755706790014	NaN	NaN	NaN	12.257668856597709	NaN	NaN	14.391035769064342	16.546243302561223	NaN	NaN	14.23490275630811	NaN	9.839315782358359	19.321448774778627	-9.451630381035743	-8.848445330646948	3.6349858387597593	NaN	8.278218103426317	NaN	NaN	NaN	19.843832999886587	5.2738167712711235	11.18517275101906
100	-8.648119921623222	-6.455006420995295	0.	5.642308026392563	9.435579208091024	16.976419412359785	11.8500292114402	NaN	34.2558623522791	20.11840975124721	4.153196932134503	NaN	45.85682824506542	NaN	17.093216201278743	NaN	NaN	10.400606066360739	NaN	4.7395190956204765	NaN	40.60490624567319	NaN	NaN	NaN	12.377160726544636	NaN	NaN	14.467184460679572	16.60691575954021	NaN	NaN	14.326438617572242	NaN	10.016064738100685	19.451379976236225	-9.222347493191451	-8.61731090577759	3.6833947143440557	NaN	8.25177517560828	NaN	NaN	NaN	19.788666249118684	5.3184564157241025	11.159449183844876
150	-8.435119283255734	-6.237738595432363	0.	5.667925305765174	9.403617276006145	16.9283057902576	11.797120135814257	NaN	34.832437689313906	20.53673890616736	4.425527533638205	NaN	46.57852374809165	NaN	17.538182794101957	NaN	NaN	10.73731567288683	NaN	4.834416595827437	NaN	41.1520061831572	NaN	NaN	NaN	12.496320815887064	NaN	NaN	14.542949511582473	16.667140631592257	NaN	NaN	14.417985627085743	NaN	10.192439178050542	19.58129801900119	-8.993295781440558	-8.386583334141624	3.731345810123439	NaN	8.225252181312477	NaN	NaN	NaN	19.733481733579282	5.362662463961831	11.133618490513603
200	-8.222384228224032	-6.020851887827123	0.	5.693231521592808	9.371589286422942	16.88015137286894	11.744223150874639	NaN	35.404032731867524	20.953588719167573	4.695007797237045	NaN	47.2856871230949	NaN	17.98227422084674	NaN	NaN	11.073433681749425	NaN	4.929098150648795	NaN	41.6952162552345	NaN	NaN	NaN	12.615150021049988	NaN	NaN	14.618332446940594	16.726920144794253	NaN	NaN	14.509541221657985	NaN	10.368441434267483	19.711198983302083	-8.764477448477972	-8.156258496199069	3.778842895248371	NaN	8.198649834484588	NaN	NaN	NaN	19.67828028280041	5.406438387594536	11.107682117267363
250	-8.00991357385843	-5.804343561454357	0.	5.718228406795585	9.33949562710514	16.83195634750258	11.691338333381472	NaN	35.97085416160938	21.368988494549086	4.961662364422175	NaN	47.97851625899859	NaN	18.425497482629087	NaN	NaN	11.408963500973348	NaN	5.023564728703356	NaN	42.23469391077063	NaN	NaN	NaN	12.733649233761211	NaN	NaN	14.693334787130864	16.786256517439764	NaN	NaN	14.601102851152291	NaN	10.544073819679532	19.84107897256445	-8.53589463823207	-7.9263323157547205	3.825889714744257	NaN	8.171968841900647	NaN	NaN	NaN	19.623062717016712	5.449787637100326	11.081641496573265
300	-7.797706145516925	-5.588210901604806	0.	5.742917687354847	9.307336682852728	16.783720898310836	11.638465759045532	NaN	36.53310429100857	21.78296716748283	5.225515773134818	NaN	48.65720772297843	NaN	18.86785953147888	NaN	NaN	11.743908523490882	NaN	5.11781729392624	NaN	42.77059331150422	NaN	NaN	NaN	12.851819341051332	NaN	NaN	14.767958047739588	16.845151960039008	NaN	NaN	14.692667978485929	NaN	10.719338628083179	19.970934113410753	-8.307549435864706	-7.696800759958132	3.8724899895114446	NaN	8.145209903167046	NaN	NaN	NaN	19.56782984716551	5.492713641825183	11.05549804712342
350	-7.585760776585183	-5.372451215585174	0.	5.767301082313157	9.275112835501965	16.735445206289626	11.585605502528256	NaN	37.09098106333387	22.19555330400944	5.486592457766275	NaN	49.32195676046245	NaN	19.30936727033986	NaN	NaN	12.07827212714178	NaN	5.211856805568884	NaN	43.30306533204698	NaN	NaN	NaN	12.969661225253754	NaN	NaN	14.842203739562459	16.903608675318885	NaN	NaN	14.784234079630115	NaN	10.89423813414339	20.100760555660404	-8.079443867771207	-7.467659839303621	3.9186474163252227	NaN	8.118373710720547	NaN	NaN	NaN	19.51258247488672	5.5352198099829675	11.029253173834945
400	-7.3740763084765515	-5.157061832718124	0.	5.791380303774298	9.242824463925384	16.687129449278416	11.532757637441726	NaN	37.64467805265373	22.60677510103922	5.744916749157916	NaN	49.97295729513101	NaN	19.7500275530696	NaN	NaN	12.412057674673248	NaN	5.3056842181990405	NaN	43.83225755988363	NaN	NaN	NaN	13.087175764004686	NaN	NaN	14.916073368604536	16.96162885822294	NaN	NaN	14.875798643610025	NaN	11.068774593393597	20.230554472329782	-7.851579901580375	-7.23890560763027	3.9643656678358234	NaN	8.091460949828262	NaN	NaN	NaN	19.457321392522942	5.577309528655417	11.002908267849943
450	-7.162651590632055	-4.942040104342278	0.	5.815157056903272	9.210471944031791	16.63877380196027	11.479922236348685	NaN	38.19438446383627	23.016660386352168	6.000512874601197	NaN	50.61040192891678	NaN	20.189847184439575	NaN	NaN	12.745268513739958	NaN	5.399300481700773	NaN	44.35831429537205	NaN	NaN	NaN	13.204363830243134	NaN	NaN	14.989568436080269	17.019214695911405	NaN	NaN	14.967359172504773	NaN	11.242950242235697	20.3603120596322	-7.623959446154479	-7.010534162121929	4.009648392568422	NaN	8.064472298587669	NaN	NaN	NaN	19.402047383119378	5.618986163792143	10.976464706535525
500	-6.951485480520392	-4.727383403812217	0.	5.838633039926299	9.17805564876626	16.59037843586181	11.427099370762518	NaN	38.74028513254931	23.425236618597978	6.253404957837641	NaN	51.23448194200476	NaN	20.628832920135114	NaN	NaN	13.077907976904045	NaN	5.492706541274469	NaN	44.88137655174313	NaN	NaN	NaN	13.321226292210905	NaN	NaN	15.062690438413481	17.07636836776115	NaN	NaN	15.058913181447421	NaN	11.416767297940071	20.49002953697791	-7.396584351589274	-6.782541643307204	4.0544992149231325	NaN	8.0374084279266	NaN	NaN	NaN	19.346761220423886	5.660253060210634	10.949923853483789
550	-6.7405768436379425	-4.513089126498485	0.	5.861809944130824	9.145575948110148	16.541943519353225	11.374289111147277	NaN	39.28256052526031	23.83253088729602	6.50361701905885	NaN	51.84538729283228	NaN	21.06699146675538	NaN	NaN	13.409979381635106	NaN	5.5859033374368225	NaN	45.40158205510087	NaN	NaN	NaN	13.437764013452615	NaN	NaN	15.135440867237376	17.133092045365746	NaN	NaN	15.150458198624994	NaN	11.59022795864556	20.619703146974125	-7.169456409213974	-6.554924235059477	4.098921735175015	NaN	8.010270001603255	NaN	NaN	NaN	19.291463668886955	5.70111354159626	10.923287058511846
600	-6.529924553508758	-4.299154689787584	0.	5.884689453865509	9.113033209081069	16.4934692176483	11.321491526917663	NaN	39.821386739236424	24.23856991283535	6.751172974906498	NaN	52.44330661808897	NaN	21.504329481813446	NaN	NaN	13.741486030310194	NaN	5.6788918060208475	NaN	45.9190652444223	NaN	NaN	NaN	13.553977852815674	NaN	NaN	15.207821209394545	17.1893878925354	NaN	NaN	15.241991765278447	NaN	11.763334403359467	20.749329155425016	-6.942577351591278	-6.327678164596884	4.142919529474073	NaN	7.983057676206188	NaN	NaN	NaN	19.236155483661722	5.741570910502262	10.896555657661795
650	-6.319527491684576	-4.085577533081975	0.	5.9072732465402344	9.080427795732914	16.444955692804374	11.268706686439021	NaN	40.35693550254449	24.64338004647472	6.996096638472337	NaN	53.02842723271678	NaN	21.940853573736202	NaN	NaN	14.072431210213836	NaN	5.771672878175871	NaN	46.43395727155759	NaN	NaN	NaN	13.669868664450295	NaN	NaN	15.279832946936944	17.245258065296994	NaN	NaN	15.3335114357027	NaN	11.936088791957584	20.87890385133167	-6.7159488525173545	-6.10079970248233	4.186496149845247	NaN	7.9557721011543165	NaN	NaN	NaN	19.180837410603946	5.781628448349762	10.869730973200733
700	-6.109384547744799	-3.872355117800082	0.	5.929562992626104	9.047760069155856	16.396403103722367	11.215934657027361	NaN	40.889374174051035	25.046987270342566	7.238411719298194	NaN	53.600935129910006	NaN	22.376570301864444	NaN	NaN	14.402818193538007	NaN	5.864247480367539	NaN	46.946386001229925	NaN	NaN	NaN	13.785437297809496	NaN	NaN	15.351477557125918	17.300704711894085	NaN	NaN	15.425014777246616	NaN	12.108493265184158	21.008423546892157	-6.489572527021845	-5.874285162623485	4.229655124188426	NaN	7.928413918696914	NaN	NaN	NaN	19.125510186272045	5.821289415427751	10.842814313620757
750	-5.899494619296518	-3.659484927376285	0.	5.951560355655436	9.015030387476326	16.34781160614677	11.163175504949344	NaN	41.41886574342222	25.44941719743702	7.478141823375971	NaN	54.161014981115244	NaN	22.811486176452792	NaN	NaN	14.732650237382156	NaN	5.956616534377808	NaN	47.4564760110356	NaN	NaN	NaN	13.9006845976491	NaN	NaN	15.422756512432187	17.355729972786882	NaN	NaN	15.516499370313005	NaN	12.280549944651915	21.137884577501463	-6.263449931367865	-5.6481309022727775	4.272399956278435	NaN	7.90098376391362	NaN	NaN	NaN	19.070174537927066	5.8605570508931075	10.815806973638967
800	-5.689856611974493	-3.446964467260928	0.	5.9732669922217765	8.982239105857037	16.299181352665645	11.11042929542228	NaN	41.945568831123886	25.850695071625882	7.7153104531476435	NaN	54.70885013603143	NaN	23.24560765866975	NaN	NaN	15.061930583753188	NaN	6.048780957304955	NaN	47.964348591443944	NaN	NaN	NaN	14.015611404027718	NaN	NaN	15.493671280535859	17.410335980652256	NaN	NaN	15.607962808358627	NaN	12.452260932842039	21.26728330175155	-6.037582563052005	-5.4223333220274075	4.314734125765049	NaN	7.873482264714428	NaN	NaN	NaN	19.014831183532685	5.899434572770579	10.78871023419745
850	-5.480469439441165	-3.234791264920312	0.	5.994684551979885	8.94938657649697	16.25051249271063	11.057696092614137	NaN	42.46963768842163	26.25084576764666	7.949941007505266	NaN	55.24462262260979	NaN	23.6789411605977	NaN	NaN	15.390662459565473	NaN	6.140741661563566	NaN	48.47012174579741	NaN	NaN	NaN	14.130218552306783	NaN	NaN	15.564223324326406	17.464524860383772	NaN	NaN	15.699402697894197	NaN	12.6236283131042	21.396616101431302	-5.811971860804325	-5.196888865829338	4.356661088172977	NaN	7.845910041839695	NaN	NaN	NaN	18.95948083175523	5.937925177952791	10.761525362463304
900	-5.271332023386653	-3.022962869836699	0.	6.015814677645746	8.916473148631376	16.20180517255694	11.00497595964353	NaN	42.991222197380615	26.649893791106532	8.182056781790966	NaN	55.76851314705391	NaN	24.111493045232844	NaN	NaN	15.718849076640836	NaN	6.232499554884548	NaN	48.97391019031147	NaN	NaN	NaN	14.24450687315051	NaN	NaN	15.6344141019027	17.51829872909162	NaN	NaN	15.790816658484369	NaN	12.794654149656528	21.525879381526575	-5.5866192045883665	-4.971794020965288	4.398184274901878	NaN	7.818267708860139	NaN	NaN	NaN	18.90412418196367	5.976032042200246	10.734253611828613
950	-5.062443293528747	-2.8114768535083106	0.	6.03665900499656	8.883499168531783	16.153059535323354	10.952268958579737	NaN	43.51046787086574	27.047863278482392	8.411680967796942	NaN	56.28070109381966	NaN	24.543269626485287	NaN	NaN	16.046493631708575	NaN	6.324055540315122	NaN	49.47582535407471	NaN	NaN	NaN	14.358477192525934	NaN	NaN	15.704245066572973	17.571659696102685	NaN	NaN	15.882202322747752	NaN	12.965340487585623	21.655069570220157	-5.361525915601137	-4.7470453180667525	4.439307093226348	NaN	7.790555872176836	NaN	NaN	NaN	18.84876192422959	6.013758320141326	10.706896221910469
