P/bar	iceIc	iceIh	iceII	iceIX	iceVI	iceXIII	iceXV	liquid	iceV-part	iceIII-part
0	-14.235204007651191	-13.583290524489712	0.	NaN	10.989114140800666	7.296302991046105	15.538264181523118	NaN	4.052890112623572	1.47953342954861
1000	-9.363867827842956	-8.700929075635537	0.	NaN	9.46199355267989	6.327394455606448	14.007769150930097	NaN	3.03047368389685	2.351303815736838
2000	-4.492531648034722	-3.8185676267813626	0.	NaN	7.934872964559114	5.358485920166791	12.477274120337077	NaN	2.0080572551701272	3.2230742019250664
3000	0.3788045317735129	1.0637938220728103	0.	NaN	6.407752376438339	4.389577384727133	10.946779089744055	NaN	0.9856408264434049	4.094844588113294
4000	5.2501407115817464	5.946155270926987	0.	NaN	4.8806317883175625	3.420668849287476	9.416284059151035	NaN	-0.03677560228331789	4.966614974301523
5000	10.121476891389982	10.82851671978116	0.	NaN	3.3535112001967864	2.451760313847819	7.885789028558014	NaN	-1.0591920310100402	5.838385360489751
6000	14.992813071198217	15.710878168635332	0.	NaN	1.8263906120760112	1.482851778408162	6.355293997964992	NaN	-2.0816084597367626	6.710155746677978
7000	19.864149251006452	20.59323961748951	0.	NaN	0.29927002395523417	0.5139432429685051	4.824798967371972	NaN	-3.104024888463485	7.581926132866207
8000	24.735485430814684	25.475601066343685	0.	NaN	-1.227850564165541	-0.4549652924711527	3.2943039367789506	NaN	-4.126441317190208	8.453696519054436
9000	29.606821610622923	30.357962515197855	0.	NaN	-2.7549711522863163	-1.4238738279108087	1.763808906185929	NaN	-5.14885774591693	9.325466905242664
10000	34.478157790431155	35.24032396405203	0.	NaN	-4.282091740407093	-2.3927823633504666	0.23331387559290917	NaN	-6.171274174643653	10.197237291430891
