P/bar	iceIc	iceIh	iceII	iceIX	iceVI	iceXIII	iceXV	liquid	iceV-part	iceIII-part
0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2000	-4.961649849021342	-4.2756360382190906	0.	NaN	NaN	NaN	NaN	0.44242776749888435	1.0726251544547267	1.429800272686407
3000	-1.6250621094368398	-0.9369090533582494	0.	NaN	NaN	NaN	NaN	1.8126503853709437	-0.2504435061127879	1.7344204997061752
4000	NaN	NaN	0.	NaN	NaN	NaN	NaN	3.7584251292282715	-0.9612025530077517	2.9881492775166407
5000	NaN	NaN	0.	NaN	3.123302871827036	NaN	8.07225345785264	NaN	-1.7890997228678316	3.1574574327096343
6000	NaN	NaN	0.	NaN	2.2811740478500724	NaN	6.6369106193888	NaN	-2.877337865298614	NaN
7000	NaN	NaN	0.	NaN	1.144796853477601	NaN	5.063788545492571	NaN	-2.9019757337518968	NaN
8000	NaN	NaN	0.	NaN	-2.673127412854228	NaN	3.0151744449394755	NaN	-4.465663013164885	NaN
9000	NaN	NaN	0.	NaN	-4.309442412282806	NaN	2.2248314671451226	NaN	-7.978598642570432	NaN
10000	NaN	NaN	0.	NaN	NaN	NaN	-1.6033236427465454	NaN	NaN	NaN
