# Temperature[K] Pressure[bar] mu_DFT-mu_NNP[meV/molecule] (mu_DFT-mu_NNP)_error[meV/molecule]
200 2000 -3.48357 0.237037
200 3000 -2.24978 0.14102
200 4000 -3.08205 0.215766
200 5000 -2.53613 0.219291
200 6000 -2.80607 0.159985
200 7000 -2.53768 0.144973
225 2000 -2.76048 0.200266
225 3000 -2.24798 0.180817
225 4000 -2.17312 0.257384
225 5000 -2.45659 0.20895
225 6000 -2.98413 0.260627
225 7000 -2.08089 0.135405
250 2000 -3.05877 0.209603
250 3000 -2.06371 0.157368
250 4000 -3.4429 0.276249
250 5000 -3.78107 0.296241
250 6000 -2.76357 0.2672
250 7000 -3.06291 0.293602
275 2000 -2.30214 0.252966
275 3000 -2.11189 0.234232
275 4000 -2.41993 0.201925
275 5000 -1.55766 0.165939
275 6000 -3.10201 0.210082
275 7000 -3.06725 0.199087

