# Temperature[K] Pressure[bar] mu_DFT-mu_NNP[meV/molecule] (mu_DFT-mu_NNP)_error[meV/molecule]
200 2000 -3.8069 0.268296
200 3000 -3.20198 0.220816
200 4000 -4.50626 0.284799
200 5000 -6.04285 0.304632
200 6000 -5.49709 0.304749
200 7000 -6.56136 0.304813
200 8000 -3.87679 0.20826
200 9000 -4.84385 0.203459
225 2000 -4.26155 0.326371
225 3000 -3.86028 0.313189
225 4000 -2.84856 0.246778
225 5000 -3.54517 0.222524
225 6000 -5.54709 0.339207
225 7000 -2.79873 0.25865
225 8000 -4.10229 0.313764
225 9000 -6.24035 0.334425
250 2000 -4.91624 0.276302
250 3000 -3.41821 0.27595
250 4000 -3.90196 0.229306
250 5000 -4.56273 0.331272
250 6000 -3.43367 0.299445
250 7000 -3.84197 0.237766
250 8000 -3.558 0.244455
250 9000 -5.81246 0.376962
275 3000 -3.89723 0.216154
275 4000 -5.90926 0.418273
275 5000 -5.81768 0.369278
275 6000 -2.74921 0.214437
275 7000 -4.16539 0.322333
275 8000 -3.5165 0.335312
275 9000 -3.93898 0.388511
300 4000 -3.44925 0.276016
300 5000 -6.34655 0.45646
300 6000 -5.08734 0.409986
300 7000 -4.39379 0.316643
300 8000 -3.28399 0.214449
300 9000 -5.71715 0.446608

