# Temperature[K] Pressure[bar] mu_DFT-mu_NNP[meV/molecule] (mu_DFT-mu_NNP)_error[meV/molecule]
225 2000 -4.13487 0.239829
225 5000 -4.15483 0.239449
225 6000 -2.85995 0.16348
225 7000 -3.71792 0.23045
225 8000 -4.98272 0.239941
225 9000 -3.33368 0.127662
250 5000 -3.75715 0.261049
250 6000 -3.04101 0.211706
250 7000 -2.57693 0.181351
250 8000 -5.47791 0.265816
250 9000 -6.79274 0.266716
275 5000 -3.88887 0.208022
275 6000 -3.298 0.134704
275 7000 -4.04326 0.189254
275 8000 -3.91869 0.258152
275 9000 -3.53302 0.236979
300 4000 -3.39915 0.193683
300 5000 -2.65106 0.282824
300 6000 -3.21375 0.198775
300 7000 -4.29187 0.251475
300 8000 -3.27853 0.209365
300 9000 -3.79364 0.300759

