# Temperature[K] Pressure[bar] mu_DFT-mu_NNP[meV/molecule] (mu_DFT-mu_NNP)_error[meV/molecule]
250 0 -4.20473 0.283372
250 1000 -3.19784 0.153468
250 2000 -4.13863 0.261394
250 3000 -4.18703 0.293799
250 4000 -3.97391 0.258094
250 5000 -5.20464 0.289411
250 6000 -4.473 0.190479
250 7000 -5.71344 0.331177
250 8000 -4.4062 0.243303
250 9000 -5.89279 0.334471
275 0 -4.46212 0.334429
275 1000 -3.93488 0.184292
275 2000 -4.0879 0.235273
275 3000 -6.196 0.350774
275 4000 -3.441 0.241098
275 5000 -5.97382 0.275293
275 6000 -4.8977 0.196149
275 7000 -5.29402 0.348381
275 9000 -5.47824 0.365448
300 0 -6.41043 0.40079
300 1000 -5.16199 0.309635
300 2000 -5.54111 0.399511
300 3000 -4.4578 0.340214
300 4000 -5.20011 0.36517
300 5000 -3.85425 0.179668
300 6000 -4.55692 0.213238
300 7000 -6.23924 0.389158
300 9000 -4.24971 0.257194
325 0 -5.73998 0.40783
325 1000 -4.59345 0.289755
325 2000 -5.89576 0.400681
325 3000 -5.89606 0.367377
325 4000 -5.71568 0.429065
325 5000 -5.31271 0.322926
325 6000 -5.61222 0.431837
325 7000 -5.17066 0.352906
325 8000 -6.35878 0.375259

