# Temperature[K] Pressure[bar] mu_DFT-mu_NNP[meV/molecule] (mu_DFT-mu_NNP)_error[meV/molecule]
175 2000 -3.61177 0.262131
175 3000 -2.86326 0.15842
175 4000 -4.39281 0.262441
175 5000 -1.7727 0.234346
175 6000 -3.66527 0.260584
175 7000 -1.64001 0.180293
175 8000 -4.51161 0.262523
175 9000 -2.28591 0.218193
200 3000 -2.29129 0.194184
200 4000 -3.93803 0.299189
200 5000 -4.44054 0.300001
200 6000 -3.02768 0.298698
200 7000 -3.46457 0.292508
200 8000 -2.74538 0.178615
200 9000 -3.00954 0.211186
225 2000 -3.40082 0.185379
225 3000 -5.04726 0.332264
225 4000 -5.17919 0.330996
225 5000 -5.1214 0.334664
225 6000 -2.79453 0.241914
225 7000 -2.64542 0.301306
225 8000 -2.81149 0.203301
225 9000 -2.41339 0.324132
250 2000 -2.81008 0.277007
250 3000 -3.16888 0.283775
250 4000 -4.72296 0.373324
250 5000 -3.57878 0.372287
250 6000 -3.73235 0.370908
250 7000 -1.65337 0.182308
250 8000 -1.56755 0.208709
250 9000 -6.50691 0.374991
275 3000 -2.3273 0.221902
275 4000 -3.69419 0.250571
275 5000 -3.44674 0.294951
275 6000 -4.30156 0.401874
275 7000 -3.3583 0.398819
275 8000 -4.29503 0.394867
275 9000 -4.19139 0.4105
300 4000 -3.97254 0.410251
300 5000 -3.45811 0.354474
300 6000 -4.72983 0.386059
300 7000 -4.62416 0.448726
300 8000 -2.35293 0.294132
300 9000 -2.988 0.439679
