# Temperature[K] Pressure[bar] mu_DFT-mu_NNP[meV/molecule] (mu_DFT-mu_NNP)_error[meV/molecule]
200 2000 -2.01018 0.117843
200 3000 -1.74813 0.132252
200 4000 -2.3797 0.140039
200 5000 -2.27996 0.218182
200 6000 -2.55414 0.170408
200 7000 -3.63349 0.236795
225 2000 -2.02635 0.183667
225 3000 -1.87752 0.119788
225 4000 -1.46255 0.236144
225 5000 -2.40132 0.178733
225 6000 -2.46423 0.209829
225 7000 -1.63389 0.121137
250 2000 -2.37546 0.200561
250 3000 -2.39714 0.289372
250 4000 -2.13346 0.257596
250 5000 -3.57912 0.296062
250 6000 -2.43329 0.20453
250 7000 -2.02658 0.181197
275 2000 -1.4208 0.169708
275 3000 -1.80355 0.277039
275 4000 -2.20075 0.266379
275 5000 -1.60975 0.209712
275 6000 -2.47618 0.164412
275 7000 -2.12716 0.263338

