# Temperature[K] Pressure[bar] mu_DFT-mu_NNP[meV/molecule] (mu_DFT-mu_NNP)_error[meV/molecule]
200 2000 -3.07164 0.273992
200 3000 -2.90362 0.200937
200 4000 -4.85472 0.303232
200 5000 -5.1787 0.30466
200 6000 -3.37213 0.149507
200 7000 -4.52087 0.295863
200 8000 -4.5436 0.242754
200 9000 -4.61909 0.299567
225 2000 -2.50671 0.142702
225 3000 -4.01547 0.320812
225 4000 -2.63361 0.302831
225 5000 -4.87391 0.342641
225 6000 -5.87217 0.340714
225 7000 -2.2939 0.171087
225 8000 -3.81005 0.251126
225 9000 -4.47414 0.334399
250 2000 -3.04655 0.234892
250 3000 -3.7628 0.293062
250 4000 -3.80524 0.346903
250 5000 -3.24704 0.192622
250 6000 -4.55544 0.281181
250 7000 -3.64655 0.338848
250 8000 -5.81321 0.380992
250 9000 -4.49542 0.364517
275 3000 -4.24939 0.356266
275 4000 -5.4272 0.416472
275 5000 -5.94453 0.388551
275 6000 -2.7082 0.205754
275 7000 -3.89896 0.278713
275 8000 -4.148 0.365806
275 9000 -4.01587 0.397958
300 4000 -3.61566 0.28165
300 5000 -5.07469 0.451617
300 6000 -5.65961 0.330283
300 7000 -3.71697 0.38587
300 8000 -3.5468 0.214836
300 9000 -4.38359 0.341277

