# Temperature[K] Pressure[bar] mu_DFT-mu_NNP[meV/molecule] (mu_DFT-mu_NNP)_error[meV/molecule]
225 2000 -3.36765 0.238333
225 5000 -3.02227 0.228011
225 6000 -2.21545 0.129646
225 7000 -2.31158 0.165976
225 8000 -4.93625 0.239838
225 9000 -2.88707 0.107972
250 5000 -3.00323 0.233632
250 6000 -3.8941 0.266355
250 7000 -2.34508 0.17786
250 8000 -5.23298 0.266515
250 9000 -5.35201 0.266479
275 5000 -2.79651 0.214729
275 6000 -3.17345 0.166088
275 7000 -3.60556 0.254132
275 8000 -3.41243 0.19275
275 9000 -4.94975 0.291355
300 4000 -2.79017 0.275202
300 5000 -2.56385 0.29108
300 6000 -2.85278 0.263393
300 7000 -3.78212 0.309947
300 8000 -3.11955 0.159757
300 9000 -2.54605 0.186824

