# Temperature[K] Pressure[bar] mu_DFT-mu_NNP[meV/molecule] (mu_DFT-mu_NNP)_error[meV/molecule]
250 0 -3.69157 0.295812
250 1000 -3.75999 0.216425
250 2000 -3.89693 0.197032
250 3000 -3.6462 0.201655
250 4000 -4.50422 0.258523
250 5000 -4.67512 0.309373
250 6000 -6.50646 0.334471
250 7000 -4.14176 0.229957
250 8000 -3.54513 0.120617
250 9000 -6.72335 0.335849
275 0 -3.80197 0.154621
275 1000 -7.67408 0.369193
275 2000 -5.8231 0.318957
275 3000 -5.12963 0.341906
275 4000 -3.49824 0.224247
275 5000 -5.71008 0.353054
275 6000 -6.94494 0.312839
275 7000 -5.08788 0.355054
275 9000 -7.61586 0.369438
300 0 -8.01659 0.402717
300 1000 -5.50727 0.215632
300 2000 -4.88931 0.327039
300 3000 -5.73452 0.326685
300 4000 -4.50326 0.171381
300 5000 -5.61022 0.400651
300 6000 -6.10698 0.397945
300 7000 -7.3591 0.318926
300 9000 -4.87366 0.206395
325 0 -5.53883 0.426778
325 1000 -4.77056 0.288768
325 2000 -4.25039 0.21165
325 3000 -6.37003 0.435986
325 4000 -5.05815 0.356571
325 5000 -5.9544 0.308476
325 6000 -5.30239 0.410776
325 7000 -4.02644 0.268613
325 8000 -5.67309 0.413216
