# Temperature[K] Pressure[bar] mu_DFT-mu_NNP[meV/molecule] (mu_DFT-mu_NNP)_error[meV/molecule]
175 2000 -1.72714 0.21134
175 3000 -3.19059 0.210757
175 4000 -4.3092 0.261341
175 5000 -2.76349 0.175704
175 6000 -2.68284 0.260587
175 7000 -2.65868 0.200558
175 8000 -3.21993 0.163448
175 9000 -5.21698 0.258254
200 3000 -3.15164 0.288827
200 4000 -2.8496 0.267413
200 5000 -3.69982 0.298349
200 6000 -2.37012 0.241479
200 7000 -2.04162 0.204998
200 8000 -1.53437 0.140252
200 9000 -2.16128 0.157625
225 2000 -3.12147 0.294779
225 3000 -4.25 0.241679
225 4000 -3.58205 0.327539
225 5000 -4.10113 0.333937
225 6000 -4.25745 0.335552
225 7000 -2.03028 0.236088
225 8000 -3.46206 0.325002
225 9000 -2.78082 0.320283
250 2000 -2.31675 0.278162
250 3000 -4.0827 0.373981
250 4000 -5.92192 0.375076
250 5000 -3.19709 0.312422
250 6000 -2.9226 0.249213
250 7000 -3.77077 0.290703
250 8000 -5.74849 0.37405
250 9000 -3.07907 0.252202
275 3000 -1.71617 0.274678
275 4000 -2.43389 0.389149
275 5000 -3.15463 0.339021
275 6000 -2.3828 0.239683
275 7000 -3.17081 0.38244
275 8000 -3.44907 0.324774
275 9000 -5.00645 0.411386
300 4000 -6.9409 0.448345
300 5000 -3.39926 0.43415
300 6000 -4.74176 0.35358
300 7000 -3.75823 0.445546
300 8000 -2.13294 0.375179
300 9000 -2.71872 0.294813
