# Temperature[K] Pressure[bar] mu_DFT-mu_NNP[meV/molecule] (mu_DFT-mu_NNP)_error[meV/molecule]
100 1000 3.73707 0.118504
100 10000 2.10457 0.0998402
100 2000 3.566 0.107319
100 3000 4.48755 0.0757589
100 4000 2.20221 0.11854
100 5000 3.09382 0.0616442
100 6000 2.73614 0.0914216
100 7000 1.87844 0.116132
100 8000 2.11079 0.117856
100 9000 2.08876 0.0904477
125 1000 3.74527 0.137515
125 10000 1.28023 0.148164
125 2000 4.16055 0.0811042
125 3000 4.26026 0.110615
125 4000 3.53258 0.101662
125 5000 3.15429 0.117299
125 6000 2.69014 0.144205
125 7000 3.0274 0.0731789
125 8000 2.81867 0.114192
125 9000 2.03398 0.129527
150 0 3.84986 0.15925
150 1000 4.28291 0.0905078
150 10000 1.49931 0.127025
150 2000 4.0491 0.175056
150 3000 3.96975 0.0969272
150 4000 3.18506 0.148846
150 5000 3.59459 0.115307
150 6000 3.60978 0.138926
150 7000 3.09977 0.124841
150 8000 2.45483 0.165509
150 9000 2.57577 0.165268
175 0 4.61215 0.136224
175 1000 4.27312 0.129776
175 10000 1.68948 0.193184
175 2000 4.30856 0.132706
175 3000 4.17483 0.151871
175 4000 3.22866 0.151693
175 5000 3.44454 0.193924
175 6000 1.61694 0.206702
175 7000 2.81517 0.2065
175 8000 2.73245 0.182568
175 9000 2.85328 0.138693
200 0 4.51837 0.134889
200 1000 3.80515 0.217245
200 10000 1.17808 0.221124
200 2000 4.57526 0.104251
200 3000 3.53298 0.144384
200 4000 3.41783 0.119554
200 5000 3.2737 0.143419
200 6000 2.4901 0.208934
200 7000 2.36094 0.188298
200 8000 2.1656 0.212236
200 9000 2.54108 0.173021
225 1000 4.63103 0.15725
225 10000 2.29025 0.176981
225 2000 4.11034 0.239043
225 3000 4.18116 0.150559
225 4000 3.19185 0.212374
225 5000 2.59664 0.265542
225 6000 3.67245 0.164381
225 7000 3.80874 0.109559
225 8000 3.21609 0.163344
225 9000 2.81944 0.191887
25 1000 4.11721 0.0293664
25 10000 2.26609 0.0183622
25 2000 3.82979 0.0292668
25 3000 3.49357 0.0295143
25 4000 3.10047 0.0295804
25 5000 2.76027 0.0296356
25 6000 2.38858 0.0252503
25 7000 1.81514 0.0296353
25 8000 1.53159 0.02963
25 9000 1.92824 0.0293165
250 10000 2.5256 0.165549
250 2000 3.83781 0.157623
250 3000 4.08855 0.161712
250 4000 3.68934 0.174817
250 5000 3.81127 0.260693
250 6000 3.6382 0.230524
250 7000 2.92225 0.23602
250 8000 2.73963 0.268942
250 9000 2.57149 0.260779
275 1000 3.02154 0.25138
275 10000 2.45248 0.144376
275 2000 3.01199 0.269691
275 3000 4.43662 0.175139
275 4000 3.97822 0.150383
275 5000 4.1517 0.153759
275 6000 2.97324 0.164402
275 7000 2.95431 0.185007
275 8000 3.51011 0.117676
275 9000 2.89343 0.212966
300 10000 2.78791 0.240971
300 4000 3.71176 0.228966
300 5000 3.46299 0.153588
300 6000 2.93886 0.184986
300 7000 2.55088 0.22592
300 8000 3.35227 0.120557
300 9000 3.44005 0.208356
325 2000 3.2794 0.205305
325 3000 3.46067 0.257449
325 4000 3.22446 0.285601
325 5000 3.50519 0.179581
325 6000 3.09304 0.188659
325 7000 2.57485 0.233948
325 8000 2.3651 0.185465
325 9000 2.42593 0.349232
50 1000 4.13184 0.0457128
50 10000 1.58115 0.0555279
50 2000 3.40312 0.0589416
50 3000 3.57495 0.0534952
50 4000 3.09273 0.0585609
50 5000 2.84452 0.0502569
50 6000 2.80804 0.0304702
50 7000 2.68905 0.0386317
50 8000 2.6482 0.038546
50 9000 2.54475 0.0359814
75 1000 3.54674 0.0880574
75 10000 0.988172 0.0889049
75 2000 3.99138 0.0830072
75 3000 3.99704 0.0629104
75 4000 3.36086 0.0750845
75 5000 3.04776 0.0778368
75 6000 2.74942 0.0884209
75 7000 2.55366 0.0558906
75 8000 1.95582 0.0759939
75 9000 2.17195 0.085644
