# Temperature[K] Pressure[bar] mu_DFT-mu_NNP[meV/molecule] (mu_DFT-mu_NNP)_error[meV/molecule]
100 10000 2.28206 0.0726497
100 3000 4.62307 0.0888257
100 4000 4.30037 0.0814017
100 5000 3.55004 0.084823
100 6000 2.87371 0.0888985
100 7000 3.74941 0.0535521
100 8000 3.04055 0.0530669
100 9000 2.89471 0.0649958
125 10000 1.27491 0.111133
125 3000 4.96988 0.0894538
125 4000 4.4226 0.0532832
125 5000 4.11991 0.0759017
125 6000 3.5591 0.104617
125 7000 2.05178 0.111104
125 8000 2.96749 0.0859988
125 9000 2.83305 0.0839894
150 10000 2.38264 0.105359
150 2000 4.08341 0.108004
150 3000 3.4812 0.133346
150 4000 3.82721 0.122784
150 5000 2.29034 0.133352
150 6000 3.95761 0.130582
150 7000 3.22265 0.117515
150 8000 3.00929 0.126649
150 9000 2.79821 0.106799
175 10000 1.83029 0.155421
175 2000 4.20306 0.131049
175 3000 4.07099 0.108382
175 6000 3.14422 0.119537
175 7000 3.27471 0.0861625
175 8000 3.0827 0.110708
175 9000 3.60303 0.119187
200 1000 3.22796 0.153113
200 10000 3.54137 0.076504
200 2000 2.59436 0.177705
200 3000 4.31631 0.119519
200 4000 3.31501 0.155069
200 5000 2.97443 0.16217
200 6000 3.18696 0.13993
200 7000 3.8993 0.137047
200 8000 3.9566 0.0705852
200 9000 1.90021 0.175406
225 10000 2.75589 0.111222
225 2000 2.81597 0.139801
225 3000 3.38878 0.169391
225 4000 2.71371 0.199833
225 5000 3.51431 0.109382
225 6000 3.39003 0.195671
225 7000 3.68306 0.102122
225 8000 1.42096 0.200029
225 9000 3.74793 0.133827
25 10000 2.16313 0.021594
25 4000 4.76383 0.022222
25 5000 3.79413 0.0222267
25 6000 3.24689 0.0222267
25 7000 3.30075 0.0196924
25 8000 3.09353 0.0219788
25 9000 1.56834 0.0222267
250 10000 2.04304 0.157269
250 2000 3.00122 0.146727
250 3000 2.29268 0.217524
250 4000 3.55185 0.103765
250 5000 3.20903 0.163206
250 6000 3.63458 0.136427
250 7000 4.14629 0.211335
250 8000 3.46223 0.156565
250 9000 2.25973 0.202747
275 1000 2.10217 0.132951
275 10000 3.91104 0.103141
275 2000 2.63204 0.230361
275 3000 2.62595 0.118026
275 4000 2.5332 0.228237
275 5000 3.20058 0.131579
275 6000 2.68397 0.198239
275 7000 2.60762 0.172087
275 8000 2.69463 0.241497
275 9000 3.62856 0.146393
300 10000 2.55689 0.264543
300 4000 1.49484 0.26295
300 5000 0.577439 0.258701
300 6000 3.34134 0.200444
300 7000 3.08028 0.181487
300 8000 3.75214 0.150581
300 9000 2.5107 0.263731
325 2000 1.08517 0.150344
325 3000 1.18924 0.258903
325 4000 2.0753 0.18123
325 5000 1.10438 0.204051
325 6000 0.430028 0.288933
325 7000 1.43726 0.257182
325 8000 0.126122 0.285584
325 9000 2.74878 0.192085
50 10000 2.35694 0.0444525
50 3000 4.95413 0.0444177
50 4000 4.63415 0.0341215
50 5000 3.55048 0.0442899
50 6000 3.69816 0.0374644
50 7000 3.15018 0.0411772
50 8000 2.66278 0.044067
50 9000 2.51896 0.0318737
75 10000 2.18362 0.0542897
75 3000 4.55049 0.0580708
75 4000 4.0899 0.0460553
75 5000 3.534 0.0666795
75 6000 3.24753 0.0665834
75 7000 3.29923 0.0464173
75 8000 2.8676 0.0665963
75 9000 3.0894 0.0397888
