# Temperature[K] Pressure[bar] mu_DFT-mu_NNP[meV/molecule] (mu_DFT-mu_NNP)_error[meV/molecule]
100 0 -2.09564 0.116581
100 1000 -2.0237 0.0977154
100 2000 -2.17301 0.0910778
100 3000 -2.82124 0.125755
125 0 -1.69608 0.105177
125 1000 -1.98733 0.0963371
125 2000 -1.93036 0.128071
125 3000 -1.93282 0.0632827
150 0 -1.16732 0.0774024
150 1000 -1.81132 0.154464
150 2000 -2.31346 0.192824
150 3000 -2.20473 0.155513
150 4000 -2.37062 0.183576
175 0 -2.14324 0.217841
175 1000 -1.29304 0.0769098
175 2000 -1.35205 0.152833
175 3000 -1.48626 0.108903
200 0 -1.08938 0.111745
200 1000 -1.44421 0.203971
200 2000 -1.09289 0.0918182
200 3000 -1.36988 0.102347
225 0 -0.637384 0.107052
225 1000 -1.23192 0.200835
225 2000 -0.942326 0.188017
225 3000 -1.0481 0.217983
25 1000 -2.77248 0.0333367
25 2000 -2.64595 0.032284
25 3000 -2.89588 0.033274
250 0 -1.00746 0.0955771
250 1000 -0.545836 0.0769452
250 2000 -0.736968 0.186639
250 3000 -1.30472 0.259339
275 0 -1.05299 0.179158
275 1000 -1.30266 0.33915
275 2000 -0.916723 0.156224
300 0 -0.994899 0.266977
300 4000 -0.352953 0.163592
325 2000 -0.811771 0.241677
325 3000 -0.418598 0.133453
325 4000 -0.62542 0.214884
325 5000 -0.971928 0.238287
50 1000 -2.50973 0.0576529
50 2000 -2.59185 0.0445823
50 3000 -2.795 0.0510163
75 0 -2.06881 0.0822052
75 1000 -2.27371 0.0845954
75 2000 -2.68782 0.0733581
75 3000 -2.73767 0.0667649
