# Temperature[K] Pressure[bar] mu_DFT-mu_NNP[meV/molecule] (mu_DFT-mu_NNP)_error[meV/molecule]
200 0 -0.371995 0.115215
200 1000 0.205993 0.160464
200 2000 -0.168347 0.108324
200 3000 -0.492982 0.127846
225 0 -0.519941 0.267779
225 1000 -0.687411 0.246187
225 2000 -0.113516 0.117504
225 3000 -0.57686 0.241899
250 0 -0.0951734 0.149337
250 1000 0.230954 0.134636
250 2000 -0.270821 0.208222
250 3000 0.590325 0.214589
275 0 -0.0687681 0.143409
275 1000 -0.868097 0.248711
275 2000 0.112334 0.123979
