# Temperature[K] Pressure[bar] mu_DFT-mu_NNP[meV/molecule] (mu_DFT-mu_NNP)_error[meV/molecule]
200 3000 3.98364 0.268885
200 4000 3.18435 0.230918
200 5000 4.00813 0.151087
200 6000 3.50725 0.140161
200 7000 3.18119 0.27
200 8000 3.37873 0.210008
200 9000 0.0059654 0.300007
225 2000 4.46725 0.298144
225 3000 2.63476 0.331184
225 4000 3.70884 0.305053
225 5000 2.25254 0.293422
225 6000 2.93903 0.253815
225 7000 1.99331 0.307777
225 8000 3.60068 0.150975
225 9000 2.5347 0.155649
250 2000 3.57373 0.359347
250 3000 2.43937 0.373511
250 4000 4.1217 0.29801
250 5000 3.2675 0.173789
250 6000 3.80529 0.300957
250 7000 0.69557 0.374722
250 8000 -0.658966 0.374859
250 9000 3.09823 0.275338
275 3000 4.74543 0.361173
275 4000 5.69845 0.172792
275 5000 2.07018 0.324777
275 6000 4.17264 0.374562
275 7000 1.18214 0.350486
275 8000 0.544198 0.405547
275 9000 3.17239 0.188444
300 4000 4.84256 0.276256
300 5000 2.40983 0.322817
300 6000 2.73051 0.437091
300 7000 3.71875 0.252667
300 8000 2.12389 0.444882
300 9000 2.13663 0.441557
