# Temperature[K] Pressure[bar] mu_DFT-mu_NNP[meV/molecule] (mu_DFT-mu_NNP)_error[meV/molecule]
100 10000 -2.71906 0.141357
100 4000 0.0705932 0.121766
100 5000 0.256913 0.0975817
100 6000 -1.17836 0.111079
100 7000 -2.07505 0.152322
100 8000 -2.43621 0.142681
100 9000 -1.83185 0.149107
125 10000 -1.12319 0.121272
125 2000 0.113009 0.189089
125 3000 0.468396 0.172822
125 4000 -0.788465 0.190247
125 5000 0.0677286 0.136645
125 6000 -0.58593 0.152925
125 7000 -0.954946 0.160825
125 8000 -1.80829 0.148773
125 9000 -1.20429 0.189517
150 1000 -0.20975 0.228508
150 10000 -1.09654 0.2035
150 2000 2.04327 0.173788
150 3000 0.752046 0.147284
150 4000 0.148236 0.22345
150 5000 -0.248129 0.157269
150 6000 -1.02997 0.227788
150 7000 -0.446245 0.167583
150 8000 -1.44036 0.199181
150 9000 -0.822679 0.143632
175 0 0.611841 0.265631
175 1000 0.582406 0.255478
175 10000 -2.78766 0.266666
175 2000 1.04999 0.213226
175 3000 1.00395 0.188703
175 4000 1.22484 0.216661
175 5000 0.403505 0.177117
175 6000 0.526118 0.129553
175 7000 -0.991839 0.254656
175 8000 -1.17186 0.261449
175 9000 -0.0587258 0.235069
200 0 1.48984 0.293279
200 1000 1.27559 0.273739
200 10000 -2.55434 0.300764
200 2000 1.00683 0.3039
200 3000 1.87564 0.124884
200 4000 1.08885 0.252557
200 5000 -0.546223 0.303831
200 6000 -1.48363 0.304049
200 7000 -1.1134 0.301957
200 8000 -0.190047 0.174595
200 9000 -1.20819 0.206491
225 0 2.18768 0.210567
225 1000 2.35325 0.189214
225 10000 -1.30737 0.333166
225 2000 0.832794 0.326193
225 3000 2.13053 0.161323
225 4000 1.50506 0.316233
225 5000 0.841701 0.189726
225 6000 0.146474 0.225852
225 7000 0.568749 0.173885
225 8000 0.735015 0.238987
225 9000 -1.00326 0.285513
25 10000 -2.95755 0.0367118
25 9000 -2.70483 0.038103
250 0 1.793 0.243589
250 1000 0.875745 0.310727
250 10000 -4.32279 0.380927
250 2000 2.06094 0.152446
250 3000 2.08954 0.185161
250 4000 1.32087 0.260585
250 5000 1.30739 0.199205
250 6000 1.23667 0.234243
250 7000 -0.731955 0.376307
250 8000 -0.724831 0.359197
250 9000 -0.604741 0.269292
275 0 2.56619 0.238466
275 10000 -0.141261 0.269024
275 3000 1.14882 0.387685
275 4000 0.243388 0.414557
275 5000 -0.245485 0.400032
275 6000 1.52175 0.351871
275 7000 0.720359 0.295908
275 8000 -0.247242 0.396485
275 9000 -0.324339 0.248485
300 10000 -1.24731 0.311266
300 4000 2.26071 0.258697
300 5000 0.40055 0.313527
300 6000 -0.124435 0.444515
300 7000 1.28277 0.302751
300 8000 0.994474 0.349098
300 9000 -0.645338 0.279817
325 2000 0.346283 0.444009
325 3000 1.12887 0.231924
325 4000 1.01449 0.345033
325 5000 1.62149 0.313495
325 6000 2.18492 0.358661
325 7000 -1.36742 0.37343
325 8000 -0.653688 0.413786
325 9000 -0.0800005 0.324959
50 10000 -3.46199 0.0762054
50 8000 -1.77662 0.0734994
50 9000 -2.77129 0.076203
75 10000 -2.41505 0.0785117
75 7000 -1.55307 0.089227
75 8000 -3.23534 0.114309
75 9000 -1.80955 0.113974
