# Temperature[K] Pressure[bar] mu_DFT-mu_NNP[meV/molecule] (mu_DFT-mu_NNP)_error[meV/molecule]
225 2000 0.992892 0.206384
225 5000 -0.459269 0.199867
225 6000 -1.32232 0.172371
225 7000 -0.692443 0.192159
225 8000 -2.12753 0.197479
225 9000 -4.22094 0.236285
250 5000 0.422234 0.262286
250 6000 -0.627434 0.220477
250 7000 -0.705592 0.237959
250 8000 -3.21474 0.259122
250 9000 -1.92202 0.239313
275 5000 0.0424612 0.246618
275 6000 -0.280675 0.234831
275 7000 -1.09381 0.267767
275 8000 -1.66305 0.230205
275 9000 -2.7472 0.271379
300 4000 0.77634 0.249369
300 5000 1.09393 0.251404
300 6000 -2.55791 0.313723
300 7000 -2.40904 0.26387
300 8000 -0.764226 0.180506
300 9000 -0.79593 0.313211
