# Temperature[K] Pressure[bar] mu_DFT-mu_NNP[meV/molecule] (mu_DFT-mu_NNP)_error[meV/molecule]
100 10000 -6.48972 0.100597
100 4000 -2.99363 0.0912514
100 5000 -4.00298 0.10668
100 6000 -5.01692 0.106675
100 7000 -4.59162 0.106661
100 8000 -4.88017 0.103957
100 9000 -5.58369 0.0705103
125 10000 -7.91198 0.13336
125 2000 -0.323434 0.127676
125 3000 -2.8525 0.133359
125 4000 -2.2962 0.105525
125 5000 -3.19722 0.132284
125 6000 -3.98741 0.131468
125 7000 -3.84947 0.12994
125 8000 -4.71904 0.131384
125 9000 -7.2621 0.13336
150 1000 0.350975 0.151386
150 10000 -5.99109 0.154758
150 2000 -0.861126 0.111086
150 3000 -0.694728 0.0877646
150 4000 -1.52351 0.132045
150 5000 -1.71298 0.127044
150 6000 -3.10817 0.155758
150 7000 -5.00242 0.160032
150 8000 -3.13889 0.0960694
150 9000 -4.07629 0.111214
175 0 0.725919 0.149335
175 1000 0.295182 0.186212
175 2000 0.3874 0.131817
175 3000 -0.11701 0.0811392
175 4000 -1.21692 0.103995
175 5000 -1.97665 0.146363
175 6000 -1.83682 0.156731
175 7000 -5.04282 0.186705
175 8000 -3.56321 0.167312
175 9000 -3.69402 0.131596
200 0 1.22873 0.124459
200 1000 -0.607142 0.187685
200 2000 0.0433855 0.212432
200 3000 0.227968 0.193851
200 4000 -2.25246 0.213262
200 5000 -1.57462 0.173167
200 6000 -1.8285 0.104794
200 7000 -4.47417 0.21337
200 8000 -2.81379 0.153846
200 9000 -4.12374 0.177501
225 0 2.09163 0.225415
225 1000 1.75536 0.152738
225 2000 0.210963 0.232797
225 5000 -1.65921 0.23732
225 6000 -0.991481 0.191642
225 7000 -1.95774 0.238199
225 8000 -4.47037 0.240005
225 9000 -3.2891 0.194659
250 0 2.41954 0.173512
250 1000 1.36597 0.187013
250 5000 -0.534299 0.170547
250 6000 -0.416279 0.240098
250 7000 -1.14384 0.158682
250 8000 -4.02592 0.264954
250 9000 -4.71519 0.266398
275 0 2.29102 0.276548
275 5000 0.641562 0.158712
275 6000 0.054018 0.171845
275 7000 -1.58537 0.26641
275 8000 -2.3 0.205075
275 9000 -3.07774 0.286737
300 4000 0.896798 0.209884
300 5000 0.461614 0.27698
300 6000 0.0381614 0.223406
300 7000 -1.11993 0.301456
300 8000 -1.35134 0.165913
300 9000 -0.665192 0.2024
75 10000 -6.80709 0.0799717
75 9000 -5.9738 0.0796533
