# Temperature[K] Pressure[bar] mu_DFT-mu_NNP[meV/molecule] (mu_DFT-mu_NNP)_error[meV/molecule]
100 10000 2.07367 0.151474
100 3000 4.20541 0.143399
100 4000 3.42587 0.152411
100 5000 4.20244 0.118943
100 6000 3.85446 0.118354
100 7000 2.92315 0.15228
100 8000 1.86915 0.148732
100 9000 2.57653 0.149801
125 10000 2.79554 0.112711
125 3000 5.17852 0.105555
125 4000 4.48108 0.18551
125 5000 0.705973 0.190513
125 6000 4.0544 0.112975
125 7000 3.73431 0.10761
125 8000 4.04018 0.144915
125 9000 3.57013 0.137726
150 10000 2.55018 0.228056
150 3000 4.16266 0.222467
150 4000 3.91709 0.220487
150 5000 4.03629 0.151295
150 6000 3.39607 0.209765
150 7000 4.55954 0.126525
150 8000 1.39145 0.228601
150 9000 2.97121 0.219102
175 10000 2.50019 0.253459
175 6000 3.87976 0.238805
175 7000 1.86628 0.265045
175 8000 3.87269 0.192767
175 9000 3.26095 0.19918
200 10000 3.23756 0.202007
200 5000 4.33372 0.184511
200 6000 4.49193 0.173809
200 7000 5.23887 0.197276
200 8000 2.33942 0.304661
200 9000 2.07242 0.213581
225 10000 2.72641 0.260617
225 5000 5.0036 0.157091
225 6000 1.33889 0.342916
225 7000 3.35656 0.336602
225 8000 3.79173 0.299768
225 9000 4.3488 0.250359
25 10000 2.51991 0.0381011
25 4000 4.38482 0.0300541
25 5000 3.93433 0.0337616
25 6000 4.04866 0.0266739
25 7000 2.79406 0.038102
25 8000 2.75663 0.038103
25 9000 2.68041 0.0312922
250 10000 4.48125 0.213852
250 4000 4.55545 0.261488
250 5000 2.02587 0.361345
250 6000 4.95248 0.285397
250 7000 4.19963 0.308167
250 8000 3.79189 0.313585
250 9000 2.64503 0.365814
275 10000 3.54575 0.389213
275 5000 5.72193 0.255499
275 6000 4.48918 0.275665
275 7000 3.25917 0.291802
275 8000 3.89548 0.35811
275 9000 4.15486 0.229021
300 10000 1.89325 0.434311
300 4000 5.09907 0.355699
300 5000 4.07429 0.267233
300 6000 4.62853 0.213056
300 7000 4.5267 0.295064
300 8000 2.60851 0.318615
300 9000 4.48448 0.301369
325 2000 4.62879 0.321938
325 3000 2.56352 0.493041
325 4000 4.0835 0.315305
325 5000 3.99805 0.337271
325 6000 2.36489 0.369729
325 7000 3.90496 0.330389
325 8000 2.71919 0.337561
325 9000 3.32359 0.479926
50 10000 2.57645 0.074772
50 3000 4.85398 0.0697239
50 4000 4.41208 0.0740457
50 5000 3.72581 0.0760312
50 6000 2.59507 0.0758838
50 7000 2.83016 0.0534859
50 8000 2.34064 0.07518
50 9000 2.54853 0.0760005
75 10000 1.92279 0.109548
75 3000 5.47868 0.104019
75 4000 4.50486 0.106926
75 5000 3.54932 0.111559
75 6000 3.71312 0.0933063
75 7000 3.98116 0.0866877
75 8000 2.76977 0.108412
75 9000 2.16237 0.0804588
