# Temperature[K] Pressure[bar] mu_DFT-mu_NNP[meV/molecule] (mu_DFT-mu_NNP)_error[meV/molecule]
100 10000 4.38605 0.0935072
100 6000 7.48233 0.105226
100 7000 7.28578 0.10602
100 8000 6.05038 0.0675431
100 9000 6.75155 0.0661094
125 10000 6.86372 0.082264
125 5000 8.80963 0.0870373
125 6000 8.74311 0.0886894
125 7000 5.90548 0.13336
125 8000 7.08313 0.120884
125 9000 6.92049 0.0879944
150 10000 6.91216 0.143224
150 4000 8.17197 0.160032
150 5000 8.9591 0.139433
150 6000 8.61122 0.134714
150 7000 6.57272 0.159949
150 8000 7.25071 0.157458
150 9000 5.86758 0.159119
175 10000 4.30379 0.186703
175 7000 8.06876 0.127368
175 8000 7.0494 0.183142
175 9000 5.91308 0.18662
200 10000 4.62404 0.213358
200 6000 7.25368 0.212882
200 7000 8.48905 0.138527
200 8000 8.3713 0.132001
200 9000 6.65547 0.14902
225 10000 6.94873 0.224212
225 5000 7.94189 0.24003
225 6000 10.219 0.145534
225 7000 8.47069 0.188458
225 8000 7.17705 0.126426
225 9000 7.6 0.168741
25 10000 3.88607 0.0266721
25 9000 5.1892 0.0266567
250 10000 5.0196 0.266701
250 5000 10.1969 0.133311
250 6000 9.76052 0.251361
250 7000 8.63537 0.234056
250 8000 7.56035 0.246773
250 9000 7.75095 0.171325
275 10000 6.71423 0.210378
275 5000 10.8122 0.242002
275 6000 9.07478 0.135238
275 7000 8.20824 0.274164
275 8000 7.441 0.202046
275 9000 7.98306 0.289431
300 10000 6.44348 0.291859
300 4000 9.82954 0.230872
300 5000 6.72833 0.319858
300 6000 9.27807 0.275616
300 7000 10.1884 0.17287
300 8000 7.77338 0.306979
300 9000 8.19339 0.286904
325 2000 10.1865 0.275019
325 3000 9.92358 0.253221
325 4000 10.1291 0.269521
325 5000 9.07069 0.324471
325 6000 8.71827 0.329077
325 7000 9.27258 0.233589
325 8000 6.01157 0.343839
325 9000 5.80672 0.346558
50 10000 3.30808 0.0533442
50 8000 5.74764 0.0533263
50 9000 5.04837 0.0438011
75 10000 4.76816 0.0799986
75 7000 7.00014 0.0799548
75 8000 6.88918 0.0560131
75 9000 4.81922 0.0800161
