# Temperature[K] Pressure[bar] mu_DFT-mu_NNP[meV/molecule] (mu_DFT-mu_NNP)_error[meV/molecule]
250 0 1.44931 0.113804
250 1000 3.60261 0.135632
250 10000 2.83333 0.226014
250 2000 4.02642 0.200945
250 3000 4.35279 0.295176
250 4000 4.71129 0.273808
250 5000 5.62278 0.282807
250 6000 4.17145 0.24269
250 7000 4.8768 0.268488
250 8000 4.37871 0.270886
250 9000 3.48387 0.264556
275 0 0.0635965 0.184554
275 1000 0.536242 0.25315
275 10000 4.00342 0.174289
275 2000 0.819029 0.364072
275 3000 3.1656 0.212119
275 4000 4.15352 0.191801
275 5000 2.92157 0.337841
275 6000 3.72697 0.29778
275 7000 4.12723 0.291527
275 8000 4.89305 0.339126
275 9000 3.52646 0.200613
300 0 -1.41957 0.322363
300 1000 -0.0811447 0.197764
300 10000 4.28685 0.22042
300 2000 0.626961 0.392948
300 3000 2.76918 0.254005
300 4000 2.4563 0.244861
300 5000 2.95277 0.23151
300 6000 2.70978 0.395857
300 7000 4.22362 0.248674
300 8000 2.0749 0.298063
300 9000 2.36586 0.355885
325 0 -1.51622 0.207521
325 1000 -0.926743 0.229564
325 10000 1.00998 0.326843
325 2000 -2.32743 0.42805
325 3000 1.25421 0.201299
325 4000 1.53646 0.219419
325 5000 1.00959 0.395363
325 6000 1.64357 0.234055
325 7000 2.40531 0.29109
325 8000 0.484061 0.419994
325 9000 2.80009 0.31407
350 0 -3.08554 0.308961
350 1000 -2.98448 0.420471
350 2000 -1.74695 0.337969
350 3000 -3.16128 0.46981
350 4000 0.0410571 0.305613
350 5000 0.541931 0.208541
350 6000 -0.158117 0.334712
350 7000 1.46346 0.244858
350 8000 1.42431 0.230296
350 9000 0.523327 0.337395
