# Temperature[K] Pressure[bar] mu_DFT-mu_NNP[meV/molecule] (mu_DFT-mu_NNP)_error[meV/molecule]
175 4000 -0.448514 0.259115
175 5000 -0.592409 0.139709
175 6000 -2.17233 0.223535
175 7000 -0.570206 0.0961222
200 3000 0.417419 0.278067
200 4000 -0.799339 0.246817
200 5000 -0.968532 0.230836
200 6000 -1.97982 0.291028
200 7000 -2.47594 0.276247
200 8000 -2.02418 0.277065
200 9000 -3.71095 0.275234
225 2000 0.923319 0.20663
225 3000 -1.6503 0.335701
225 4000 -1.18295 0.29882
225 5000 -1.89381 0.330827
225 6000 -1.1409 0.285231
225 7000 -0.47317 0.240087
225 8000 -1.75637 0.250039
225 9000 -1.47291 0.324078
250 2000 -0.09592 0.372069
250 3000 0.768225 0.27322
250 4000 -0.26249 0.325353
250 5000 0.364057 0.302305
250 6000 -0.368286 0.18849
250 7000 0.166733 0.297692
250 8000 -0.387311 0.247914
250 9000 -3.22745 0.373759
275 3000 1.55335 0.16573
275 4000 -0.455359 0.306601
275 5000 -0.830671 0.383934
275 6000 -1.14326 0.316789
275 7000 -0.24296 0.279493
275 8000 -2.48104 0.403679
275 9000 -0.455497 0.321917
300 4000 -0.483486 0.291289
300 5000 -0.702318 0.232405
300 6000 -2.03671 0.441126
300 7000 -0.641276 0.395058
300 8000 1.17953 0.278205
300 9000 -0.0988908 0.326831
