# y=sqrt(m0/m) temperature[K] pressure[bar] T_cv[meV/molecule] T_cv_error[meV/molecule]
1 125 10000 299.22 0.0870107
0.707107 125 10000 233.581 0.09127
0.5 125 10000 178.675 0.116146
0.25 125 10000 105.399 0
1 125 1000 297.281 0.0839068
0.707107 125 1000 232.587 0.10784
0.5 125 1000 178.27 0.113671
0.25 125 1000 105.462 0
1 125 2000 297.393 0.0870319
0.707107 125 2000 232.671 0.10386
0.5 125 2000 178.283 0.113272
0.25 125 2000 105.488 0.0152963
1 125 3000 297.695 0.0832149
0.707107 125 3000 232.822 0.108405
0.5 125 3000 178.362 0.114335
0.25 125 3000 105.483 0
1 125 4000 297.842 0.0781675
0.707107 125 4000 232.884 0.0999446
0.5 125 4000 178.368 0.114514
0.25 125 4000 105.45 0
1 125 5000 298.158 0.0730596
0.707107 125 5000 233.079 0.102096
0.5 125 5000 178.46 0.118116
0.25 125 5000 105.462 0
1 125 6000 298.428 0.0717436
0.707107 125 6000 233.236 0.096008
0.5 125 6000 178.52 0.117858
0.25 125 6000 105.452 0
1 125 7000 298.409 0.075247
0.707107 125 7000 233.164 0.0993095
0.5 125 7000 178.478 0.114383
0.25 125 7000 105.443 0.014096
1 125 8000 298.777 0.0700837
0.707107 125 8000 233.383 0.092022
0.5 125 8000 178.584 0.11271
0.25 125 8000 105.433 0
1 125 9000 298.879 0.079701
0.707107 125 9000 233.415 0.0918042
0.5 125 9000 178.594 0.114815
0.25 125 9000 105.42 0
1 150 0 312.158 0.105322
0.707107 150 0 241.767 0.105283
0.5 150 0 184.939 0.0920941
0.25 150 0 111.747 0.0534158
1 150 10000 313.853 0.102911
0.707107 150 10000 242.491 0.106873
0.5 150 10000 185.155 0.0995181
0.25 150 10000 111.507 0.0640561
1 150 1000 312.37 0.109052
0.707107 150 1000 241.836 0.107739
0.5 150 1000 184.956 0.0920955
0.25 150 1000 111.691 0.0560953
1 150 2000 312.58 0.108637
0.707107 150 2000 241.929 0.105405
0.5 150 2000 184.982 0.0946197
0.25 150 2000 111.669 0.0620036
1 150 3000 312.734 0.102635
0.707107 150 3000 242.007 0.102796
0.5 150 3000 185.016 0.101961
0.25 150 3000 111.67 0.0604264
1 150 4000 312.97 0.102082
0.707107 150 4000 242.095 0.107319
0.5 150 4000 185.025 0.0982974
0.25 150 4000 111.632 0.0617159
1 150 5000 313.119 0.0963054
0.707107 150 5000 242.162 0.106109
0.5 150 5000 185.042 0.102176
0.25 150 5000 111.598 0.0647414
1 150 6000 313.236 0.0924953
0.707107 150 6000 242.216 0.105451
0.5 150 6000 185.063 0.101233
0.25 150 6000 111.58 0.0680601
1 150 7000 313.495 0.0962171
0.707107 150 7000 242.314 0.101403
0.5 150 7000 185.107 0.0951886
0.25 150 7000 111.573 0.065488
1 150 8000 313.531 0.0982816
0.707107 150 8000 242.362 0.10062
0.5 150 8000 185.114 0.100632
0.25 150 8000 111.54 0.0654502
1 150 9000 313.748 0.100743
0.707107 150 9000 242.424 0.106232
0.5 150 9000 185.129 0.0975004
0.25 150 9000 111.526 0.0654388
1 175 0 323.955 0.125711
0.707107 175 0 249.409 0.0875965
0.5 175 0 191.118 0.0723552
0.25 175 0 118.189 0.0501256
1 175 10000 325.317 0.140633
0.707107 175 10000 249.907 0.0843383
0.5 175 10000 191.136 0.0705248
0.25 175 10000 117.96 0.0392787
1 175 1000 324.223 0.135627
0.707107 175 1000 249.544 0.0811175
0.5 175 1000 191.153 0.0750018
0.25 175 1000 118.181 0.0540378
1 175 2000 324.321 0.128368
0.707107 175 2000 249.574 0.0831476
0.5 175 2000 191.137 0.0753155
0.25 175 2000 118.149 0.0467065
1 175 3000 324.46 0.130888
0.707107 175 3000 249.642 0.0830978
0.5 175 3000 191.134 0.0765844
0.25 175 3000 118.118 0.0474273
1 175 4000 324.559 0.134676
0.707107 175 4000 249.672 0.0881985
0.5 175 4000 191.119 0.0708526
0.25 175 4000 118.1 0.045394
1 175 5000 324.81 0.131805
0.707107 175 5000 249.744 0.0792215
0.5 175 5000 191.149 0.0771585
0.25 175 5000 118.077 0.0481693
1 175 6000 324.813 0.133076
0.707107 175 6000 249.785 0.0826274
0.5 175 6000 191.131 0.0750795
0.25 175 6000 118.046 0.0460554
1 175 7000 324.984 0.133998
0.707107 175 7000 249.856 0.0831277
0.5 175 7000 191.152 0.0727895
0.25 175 7000 118.003 0.0545113
1 175 8000 325.152 0.135355
0.707107 175 8000 249.887 0.080317
0.5 175 8000 191.198 0.0697561
0.25 175 8000 117.988 0.0592874
1 175 9000 325.296 0.135366
0.707107 175 9000 249.933 0.0848036
0.5 175 9000 191.165 0.0707363
0.25 175 9000 117.983 0.0452207
1 200 10000 334.733 0.144899
0.707107 200 10000 256.647 0.0873461
0.5 200 10000 197.111 0.0734127
0.25 200 10000 124.576 0.0476885
1 200 1000 333.796 0.12945
0.707107 200 1000 256.287 0.0763071
0.5 200 1000 197.147 0.0762173
0.25 200 1000 124.834 0.0580319
1 200 2000 333.952 0.141182
0.707107 200 2000 256.349 0.0803875
0.5 200 2000 197.154 0.0776393
0.25 200 2000 124.804 0.0580496
1 200 3000 334.124 0.139477
0.707107 200 3000 256.414 0.0795353
0.5 200 3000 197.162 0.0844237
0.25 200 3000 124.767 0.0574085
1 200 4000 334.193 0.143202
0.707107 200 4000 256.486 0.073021
0.5 200 4000 197.162 0.0827466
0.25 200 4000 124.739 0.0578029
1 200 5000 334.296 0.140094
0.707107 200 5000 256.478 0.0832528
0.5 200 5000 197.142 0.0793757
0.25 200 5000 124.741 0.0609186
1 200 6000 334.437 0.139233
0.707107 200 6000 256.561 0.0790256
0.5 200 6000 197.126 0.0809577
0.25 200 6000 124.691 0.0522817
1 200 7000 334.537 0.137874
0.707107 200 7000 256.584 0.083185
0.5 200 7000 197.146 0.0726223
0.25 200 7000 124.687 0.0540664
1 200 8000 334.556 0.13888
0.707107 200 8000 256.571 0.0830257
0.5 200 8000 197.123 0.0712173
0.25 200 8000 124.631 0.0520673
1 200 9000 334.644 0.137303
0.707107 200 9000 256.569 0.0920924
0.5 200 9000 197.132 0.0757606
0.25 200 9000 124.68 0.0480701
1 225 10000 342.882 0.126977
0.707107 225 10000 262.879 0.0845522
0.5 225 10000 203.061 0.0755306
0.25 225 10000 131.467 0.0330593
1 225 1000 342.141 0.140722
0.707107 225 1000 262.729 0.0770164
0.5 225 1000 203.22 0.0789665
0.25 225 1000 131.761 0.0475744
1 225 2000 342.243 0.112269
0.707107 225 2000 262.771 0.0805728
0.5 225 2000 203.229 0.0832902
0.25 225 2000 131.748 0.0520572
1 225 3000 342.46 0.142448
0.707107 225 3000 262.866 0.0801835
0.5 225 3000 203.235 0.0823571
0.25 225 3000 131.689 0.0474649
1 225 4000 342.469 0.134568
0.707107 225 4000 262.769 0.08455
0.5 225 4000 203.216 0.0787212
0.25 225 4000 131.676 0.0451823
1 225 5000 342.564 0.12716
0.707107 225 5000 262.843 0.0825423
0.5 225 5000 203.211 0.0813314
0.25 225 5000 131.623 0.044635
