# y=sqrt(m0/m) temperature[K] pressure[bar] T_cv[meV/molecule] T_cv_error[meV/molecule]
1 125 10000 298.012 0.0728068
0.707107 125 10000 232.496 0.0988553
0.5 125 10000 177.877 0.0394879
0.25 125 10000 104.947 0.0344027
1 125 3000 297.735 0.0880765
0.707107 125 3000 232.642 0.0936969
0.5 125 3000 178.296 0.0500566
0.25 125 3000 105.316 0.0611315
1 125 4000 297.875 0.0913761
0.707107 125 4000 232.712 0.0923604
0.5 125 4000 178.298 0.0476543
0.25 125 4000 105.295 0.062858
1 125 5000 297.724 0.094389
0.707107 125 5000 232.586 0.0939768
0.5 125 5000 178.172 0.0481628
0.25 125 5000 105.224 0.0585862
1 125 6000 297.715 0.0857564
0.707107 125 6000 232.497 0.0906701
0.5 125 6000 178.047 0.0456442
0.25 125 6000 105.129 0.0502071
1 125 7000 297.748 0.0916755
0.707107 125 7000 232.459 0.0942793
0.5 125 7000 178.009 0.0411297
0.25 125 7000 105.08 0.0536098
1 125 8000 297.828 0.0853317
0.707107 125 8000 232.441 0.0943683
0.5 125 8000 177.932 0.0469651
0.25 125 8000 105.034 0.0847786
1 125 9000 297.92 0.0709031
0.707107 125 9000 232.418 0.0882052
0.5 125 9000 177.875 0.0393858
0.25 125 9000 104.992 0.0439871
1 150 10000 312.47 0.0749826
0.707107 150 10000 241.345 0.106322
0.5 150 10000 184.304 0.0576276
0.25 150 10000 111.197 0.0636916
1 150 2000 312.415 0.0771208
0.707107 150 2000 241.735 0.100723
0.5 150 2000 184.873 0.0635847
0.25 150 2000 111.636 0.0708195
1 150 3000 312.407 0.0754897
0.707107 150 3000 241.637 0.101155
0.5 150 3000 184.773 0.0616254
0.25 150 3000 111.561 0.0683756
1 150 4000 312.481 0.0765101
0.707107 150 4000 241.674 0.0978697
0.5 150 4000 184.76 0.0590479
0.25 150 4000 111.554 0.0742767
1 150 5000 312.455 0.0684624
0.707107 150 5000 241.595 0.107359
0.5 150 5000 184.677 0.057695
0.25 150 5000 111.492 0.0848023
1 150 6000 312.347 0.0685348
0.707107 150 6000 241.454 0.0967073
0.5 150 6000 184.543 0.0602897
0.25 150 6000 111.412 0.0627726
1 150 7000 312.38 0.0634132
0.707107 150 7000 241.399 0.105012
0.5 150 7000 184.472 0.0589287
0.25 150 7000 111.349 0.0646942
1 150 8000 312.432 0.0663906
0.707107 150 8000 241.401 0.102414
0.5 150 8000 184.443 0.053391
0.25 150 8000 111.298 0.0618989
1 150 9000 312.378 0.0747809
0.707107 150 9000 241.336 0.103061
0.5 150 9000 184.355 0.0564594
0.25 150 9000 111.253 0.0656738
1 175 10000 323.672 0.0764791
0.707107 175 10000 248.687 0.0830234
0.5 175 10000 190.283 0.0603592
0.25 175 10000 117.651 0.0746421
1 175 2000 324.157 0.081443
0.707107 175 2000 249.402 0.073034
0.5 175 2000 191.002 0.0686521
0.25 175 2000 118.089 0.0755429
1 175 3000 324.23 0.0788275
0.707107 175 3000 249.418 0.0748014
0.5 175 3000 190.958 0.0691458
0.25 175 3000 118.056 0.0825439
1 175 6000 323.908 0.0628086
0.707107 175 6000 248.999 0.0884261
0.5 175 6000 190.627 0.072223
0.25 175 6000 117.842 0.0808311
1 175 7000 323.886 0.0631358
0.707107 175 7000 248.971 0.086648
0.5 175 7000 190.546 0.067802
