# y=sqrt(m0/m) temperature[K] pressure[bar] T_cv[meV/molecule] T_cv_error[meV/molecule]
1 125 2000 297.932 0.107975
0.707107 125 2000 232.999 0.0783101
0.5 125 2000 178.644 0.0651204
0.25 125 2000 105.517 0.0825386
1 125 3000 297.95 0.101835
0.707107 125 3000 232.949 0.0719486
0.5 125 3000 178.546 0.0788323
0.25 125 3000 105.419 0.0721023
1 125 4000 298.082 0.108803
0.707107 125 4000 232.994 0.078391
0.5 125 4000 178.546 0.0787155
0.25 125 4000 105.385 0.0743757
1 125 7000 298.558 0.107741
0.707107 125 7000 233.178 0.0888221
0.5 125 7000 178.544 0.0805689
0.25 125 7000 105.25 0.0639359
1 125 8000 298.721 0.121628
0.707107 125 8000 233.214 0.0838514
0.5 125 8000 178.541 0.0850021
0.25 125 8000 105.207 0.0667807
1 125 9000 298.903 0.0976344
0.707107 125 9000 233.262 0.0796763
0.5 125 9000 178.545 0.0848926
0.25 125 9000 105.144 0.0538334
1 150 2000 312.629 0.102589
0.707107 150 2000 242.026 0.0946954
0.5 150 2000 185.088 0.0881012
0.25 150 2000 111.644 0.0923162
1 150 3000 312.68 0.0953489
0.707107 150 3000 242.03 0.0900287
0.5 150 3000 185.059 0.0881796
0.25 150 3000 111.591 0.0941316
1 150 4000 312.933 0.105269
0.707107 150 4000 242.161 0.0925764
0.5 150 4000 185.061 0.0925263
0.25 150 4000 111.546 0.0942996
1 150 6000 313.073 0.10955
0.707107 150 6000 242.083 0.0887765
0.5 150 6000 184.965 0.0918669
0.25 150 6000 111.441 0.0902062
1 150 7000 313.194 0.112524
0.707107 150 7000 242.122 0.0877005
0.5 150 7000 184.932 0.0911675
0.25 150 7000 111.372 0.0815998
1 175 1000 324.128 0.114355
0.707107 175 1000 249.541 0.0855863
0.5 175 1000 191.189 0.074671
0.25 175 1000 118.144 0.0815086
1 175 2000 324.253 0.107544
0.707107 175 2000 249.618 0.0864693
0.5 175 2000 191.162 0.0771249
0.25 175 2000 118.053 0.0665054
1 175 3000 324.403 0.110846
0.707107 175 3000 249.657 0.0971191
0.5 175 3000 191.169 0.0721414
0.25 175 3000 118.042 0.0770296
