# y=sqrt(m0/m) temperature[K] pressure[bar] T_cv[meV/molecule] T_cv_error[meV/molecule]
1 125 0 301.103 0.121898
0.707107 125 0 234.889 0.10583
0.5 125 0 179.557 0.105073
0.25 125 0 105.691 0.0574096
1 125 1000 301.474 0.123995
0.707107 125 1000 235.069 0.108558
0.5 125 1000 179.635 0.107298
0.25 125 1000 105.676 0.0571198
1 125 2000 301.696 0.125141
0.707107 125 2000 235.198 0.110286
0.5 125 2000 179.671 0.107068
0.25 125 2000 105.67 0.0624015
1 150 0 315.882 0.109401
0.707107 150 0 244.028 0.0909816
0.5 150 0 186.011 0.103836
0.25 150 0 111.836 0.0576051
1 150 1000 316.2 0.118749
0.707107 150 1000 244.191 0.0872514
0.5 150 1000 186.06 0.107459
0.25 150 1000 111.816 0.0590422
1 150 2000 316.485 0.13503
0.707107 150 2000 244.285 0.0942204
0.5 150 2000 186.095 0.107062
0.25 150 2000 111.768 0.0659381
1 150 3000 316.706 0.13225
0.707107 150 3000 244.353 0.0944037
0.5 150 3000 186.09 0.10384
0.25 150 3000 111.726 0.0665236
1 175 0 327.31 0.109786
0.707107 175 0 251.386 0.0855903
0.5 175 0 192 0.102639
0.25 175 0 118.243 0.0547616
1 175 1000 327.521 0.205861
0.707107 175 1000 251.568 0.0775605
0.5 175 1000 192.046 0.109664
0.25 175 1000 118.207 0.0596832
1 175 2000 327.71 0.125444
0.707107 175 2000 251.551 0.0828324
0.5 175 2000 192.006 0.104082
0.25 175 2000 118.14 0.0644213
1 175 3000 327.996 0.133765
0.707107 175 3000 251.696 0.0807974
0.5 175 3000 192.051 0.108943
0.25 175 3000 118.117 0.0588526
1 200 0 336.704 0.101012
0.707107 200 0 257.979 0.115274
0.5 200 0 197.904 0.0954656
0.25 200 0 124.889 0.0386076
1 200 1000 336.837 0.11864
0.707107 200 1000 258.088 0.108868
0.5 200 1000 197.884 0.0979381
0.25 200 1000 124.85 0.0381401
1 200 2000 337.027 0.138617
0.707107 200 2000 258.155 0.109965
0.5 200 2000 197.849 0.094967
0.25 200 2000 124.793 0.0410328
1 200 3000 337.082 0.165322
0.707107 200 3000 258.147 0.104607
0.5 200 3000 197.811 0.0956387
0.25 200 3000 124.758 0.0504088
1 225 0 344.653 0.124864
0.707107 225 0 264.228 0.102751
0.5 225 0 203.841 0.0851911
0.25 225 0 131.834 0.0446544
1 225 1000 344.711 0.122978
0.707107 225 1000 264.183 0.105624
0.5 225 1000 203.785 0.0845888
0.25 225 1000 131.774 0.0446124
1 225 2000 344.936 0.128877
0.707107 225 2000 264.286 0.113208
0.5 225 2000 203.716 0.0804281
0.25 225 2000 131.746 0.0458169
1 225 3000 345.013 0.124069
0.707107 225 3000 264.345 0.106564
0.5 225 3000 203.668 0.0850416
0.25 225 3000 131.696 0.0476316
1 250 0 352.079 0.0979708
0.707107 250 0 270.263 0.104919
0.5 250 0 209.9 0.0768239
0.25 250 0 138.995 0.0413402
1 250 1000 351.969 0.0796592
0.707107 250 1000 270.143 0.0961993
0.5 250 1000 209.798 0.0818383
0.25 250 1000 138.939 0.0410174
1 250 2000 352.047 0.0495251
0.707107 250 2000 270.204 0.10974
0.5 250 2000 208.831 0.0775188
0.25 250 2000 138.9 0.0459519
1 250 3000 352.138 0.0727819
0.707107 250 3000 270.194 0.110033
0.5 250 3000 209.644 0.0812694
0.25 250 3000 138.816 0.0458773
1 275 0 358.602 0.0699733
0.707107 275 0 276.096 0.0866477
0.5 275 0 214.35 0.242869
0.25 275 0 146.386 0.0435778
1 275 1000 358.538 0.0902499
0.707107 275 1000 276.048 0.0810343
0.5 275 1000 215.967 0.0774854
0.25 275 1000 146.298 0.0408333
1 275 2000 358.748 0.0982212
0.707107 275 2000 276.175 0.0913351
0.5 275 2000 215.951 0.0772422
0.25 275 2000 146.25 0.0389925
1 300 0 364.989 0.110458
0.707107 300 0 282.161 0.0886503
0.5 300 0 222.424 0.0678904
0.25 300 0 153.947 0.0422647
1 300 4000 364.976 0.114718
0.707107 300 4000 281.87 0.0911877
0.5 300 4000 222.041 0.0737795
0.25 300 4000 153.668 0.0434973
