# y=sqrt(m0/m) temperature[K] pressure[bar] T_cv[meV/molecule] T_cv_error[meV/molecule]
1 125 10000 295.899 0
0.707107 125 10000 231.176 0.111507
0.5 125 10000 176.916 0.116896
0.25 125 10000 104.531 0.0936809
1 125 2000 295.078 0.168978
0.707107 125 2000 230.639 0.0987964
0.5 125 2000 176.907 0.111286
0.25 125 2000 104.86 0.0932094
1 125 3000 295.245 0.178268
0.707107 125 3000 230.752 0.106036
0.25 125 3000 104.845 0.0956568
1 125 4000 295.401 0.176827
0.707107 125 4000 230.786 0.104884
0.5 125 4000 176.941 0.1156
0.25 125 4000 104.782 0.0908479
1 125 5000 295.457 0.171022
0.707107 125 5000 230.801 0.101752
0.5 125 5000 176.876 0.114514
0.25 125 5000 104.751 0.0970989
1 125 6000 295.69 0.168792
0.707107 125 6000 230.954 0.112514
0.5 125 6000 176.951 0.116872
0.25 125 6000 104.724 0.0913202
1 125 7000 295.696 0.119183
0.707107 125 7000 230.87 0.100408
0.5 125 7000 176.857 0.118711
0.25 125 7000 104.672 0.0961279
1 125 8000 295.661 0
0.707107 125 8000 230.966 0.111707
0.5 125 8000 176.865 0.117903
0.25 125 8000 104.597 0.0947844
1 125 9000 296.194 0.114175
0.707107 125 9000 231.067 0.110862
0.5 125 9000 176.904 0.119005
0.25 125 9000 104.578 0.0976929
1 150 10000 310.804 0.158038
0.707107 150 10000 240.156 0.0929818
0.5 150 10000 183.436 0.0974709
0.25 150 10000 110.749 0.0450904
1 150 1000 309.863 0.12274
0.707107 150 1000 239.952 0.0759942
0.5 150 1000 183.686 0.0879731
0.25 150 1000 111.201 0.0520974
1 150 2000 309.98 0.119108
0.707107 150 2000 240.041 0.0785117
0.5 150 2000 183.687 0.0874786
0.25 150 2000 111.167 0.0618771
1 150 3000 310.061 0.11218
0.707107 150 3000 240.022 0.0829014
0.5 150 3000 183.628 0.089538
0.25 150 3000 111.076 0.0456578
1 150 4000 310.194 0.117179
0.707107 150 4000 240.084 0.0841338
0.5 150 4000 183.624 0.0908908
0.25 150 4000 111.059 0.0585885
1 150 5000 310.271 0.229997
0.707107 150 5000 240.098 0.0933842
0.5 150 5000 183.601 0.0907872
0.25 150 5000 110.978 0.0540218
1 150 6000 310.112 0.423068
0.707107 150 6000 240.132 0.0899046
0.5 150 6000 183.591 0.0898767
0.25 150 6000 110.997 0.0659355
1 150 7000 309.906 0.501517
0.707107 150 7000 240.119 0.0866763
0.5 150 7000 183.539 0.0903572
0.25 150 7000 110.889 0.0506446
1 150 8000 310.487 0.145027
0.707107 150 8000 240.109 0.0843632
0.5 150 8000 183.554 0.0888009
0.25 150 8000 110.853 0.0518336
1 150 9000 310.649 0.134931
0.707107 150 9000 240.108 0.084059
0.5 150 9000 183.459 0.0922762
0.25 150 9000 110.802 0.0515989
1 175 0 321.65 0.124969
0.707107 175 0 247.787 0.0924443
0.5 175 0 190.024 0.0925926
0.25 175 0 117.814 0.0427132
1 175 10000 322.06 0.117927
0.707107 175 10000 247.45 0.0883815
0.5 175 10000 189.505 0.0947888
0.25 175 10000 117.224 0.0342292
1 175 1000 321.69 0.140115
0.707107 175 1000 247.698 0.0776501
0.5 175 1000 189.921 0.090443
0.25 175 1000 117.745 0.0500817
1 175 2000 321.7 0.19434
0.707107 175 2000 247.704 0.0900137
0.5 175 2000 189.896 0.0931945
0.25 175 2000 117.694 0.044522
1 175 3000 321.904 0.23528
0.707107 175 3000 247.67 0.0766757
0.5 175 3000 189.859 0.0938165
0.25 175 3000 117.648 0.044204
1 175 4000 322.032 0.193672
0.707107 175 4000 247.742 0.0809427
0.5 175 4000 189.851 0.0868036
0.25 175 4000 117.588 0.0434387
1 175 5000 321.795 0.127447
0.707107 175 5000 247.551 0.0852156
0.5 175 5000 189.703 0.0866453
0.25 175 5000 117.492 0.0383069
1 175 6000 322.133 0.123427
0.707107 175 6000 247.763 0.0813781
0.5 175 6000 189.82 0.0856703
0.25 175 6000 117.481 0.0364603
1 175 7000 322.065 0
0.707107 175 7000 247.702 0.0873142
0.5 175 7000 189.734 0.0830082
0.25 175 7000 117.413 0.0402184
1 175 8000 321.655 0.36249
0.707107 175 8000 247.547 0.0853262
0.5 175 8000 189.607 0.084989
0.25 175 8000 117.365 0.0438423
1 175 9000 321.835 0.345012
0.707107 175 9000 247.598 0.0850803
0.5 175 9000 189.602 0.0869134
0.25 175 9000 117.305 0.0394971
1 200 0 331.552 0.127298
0.707107 200 0 254.707 0.0849372
0.5 200 0 196.098 0.0894186
0.25 200 0 124.6 0
1 200 10000 331.789 0.12328
0.707107 200 10000 254.309 0.0866707
0.5 200 10000 195.504 0.0919977
0.25 200 10000 124.057 0.0423788
1 200 1000 331.585 0.130468
0.707107 200 1000 254.713 0.0815354
0.5 200 1000 196.077 0.0906242
0.25 200 1000 124.544 0.0346081
1 200 2000 331.446 0.181497
0.707107 200 2000 254.568 0.0776774
0.5 200 2000 195.952 0.0937776
0.25 200 2000 124.47 0.0440253
1 200 3000 331.487 0.175981
0.707107 200 3000 254.648 0.086654
0.5 200 3000 195.965 0.0905711
0.25 200 3000 124.453 0.0411696
1 200 4000 331.633 0.142008
0.707107 200 4000 254.59 0.0964017
0.5 200 4000 195.868 0.097921
0.25 200 4000 124.395 0.0425139
1 200 5000 331.595 0.212102
0.707107 200 5000 254.56 0.0914416
0.5 200 5000 195.825 0.0895595
0.25 200 5000 124.34 0.0313827
1 200 6000 331.773 0.134953
0.707107 200 6000 254.471 0.0793506
0.5 200 6000 195.728 0.0969699
0.25 200 6000 124.268 0.0446915
1 200 7000 331.621 0.129231
0.707107 200 7000 254.414 0.0822126
0.5 200 7000 195.704 0.0875432
0.25 200 7000 124.217 0.0412156
1 200 8000 331.823 0.128151
0.707107 200 8000 254.494 0.0927508
0.5 200 8000 195.678 0.08991
0.25 200 8000 124.187 0.0360963
