# y=sqrt(m0/m) temperature[K] pressure[bar] T_cv[meV/molecule] T_cv_error[meV/molecule]
1 125 10000 293.005 0.101189
0.5 125 10000 175.869 0.0515398
0.25 125 10000 104.685 0.0795927
0.707107 125 10000 231.030999985812 0
1 125 9000 292.935 0.125908
0.5 125 9000 175.892 0.0452882
0.25 125 9000 104.705 0.0853709
0.707107 125 9000 231.208548347102 0
1 150 10000 307.994 0.043675
0.707107 150 10000 238.539 0.087086
0.5 150 10000 182.626 0.0450911
0.25 150 10000 110.919 0.0904339
1 150 8000 307.851 0.02908
0.707107 150 8000 238.544 0.0827514
0.5 150 8000 182.678 0.0452094
0.25 150 8000 110.989 0.0885892
1 150 9000 307.917 0.0461034
0.707107 150 9000 238.562 0.0919377
0.5 150 9000 182.646 0.0474596
0.25 150 9000 110.947 0.0861278
1 175 10000 319.913 0.0660569
0.707107 175 10000 246.481 0.0696042
0.5 175 10000 189.154 0.0441888
0.25 175 10000 117.48 0.0799489
1 175 7000 319.684 0.0683551
0.707107 175 7000 246.454 0.0812926
0.5 175 7000 189.146 0.0453854
0.25 175 7000 117.505 0.0732901
1 175 8000 319.774 0.0802911
0.707107 175 8000 246.38 0.0775196
0.5 175 8000 189.09 0.0452753
0.25 175 8000 117.464 0.0723787
1 175 9000 319.738 0.0828075
0.707107 175 9000 246.344 0.0745217
0.5 175 9000 189.067 0.0450112
0.25 175 9000 117.432 0.0809354
1 200 10000 329.697 0.09263
0.707107 200 10000 253.468 0.0832475
0.5 200 10000 195.367 0.0745651
0.25 200 10000 124.178 0.0603099
1 200 6000 329.571 0.0815892
0.707107 200 6000 253.532 0.0826272
0.5 200 6000 195.474 0.0592459
0.25 200 6000 124.325 0.0624428
1 200 7000 329.601 0.0667991
0.707107 200 7000 253.503 0.0841798
0.5 200 7000 195.441 0.0590689
0.25 200 7000 124.313 0.0703247
1 200 8000 329.656 0.0992325
0.707107 200 8000 253.575 0.0816529
0.5 200 8000 195.422 0.0514731
0.25 200 8000 124.273 0.06282
1 225 10000 338.098 0.129515
0.707107 225 10000 260.125 0.0766002
0.5 225 10000 201.55 0.084127
0.25 225 10000 131.221 0.0465409
1 225 5000 337.911 0.126878
0.707107 225 5000 260.271 0.0638877
0.5 225 5000 201.777 0.0788084
0.25 225 5000 131.379 0.0459541
1 225 6000 338.026 0.106766
0.707107 225 6000 260.304 0.0676503
0.5 225 6000 201.739 0.0786491
0.25 225 6000 131.347 0.0567601
1 225 7000 337.968 0.132527
0.707107 225 7000 260.224 0.0692033
0.5 225 7000 201.645 0.0753764
0.25 225 7000 131.32 0.0472459
1 225 8000 338.056 0.105456
0.707107 225 8000 260.236 0.0595009
0.5 225 8000 201.684 0.0783091
0.25 225 8000 131.315 0.0509008
1 225 9000 337.949 0.113753
0.707107 225 9000 260.123 0.0830051
0.5 225 9000 201.589 0.0797852
0.25 225 9000 131.265 0.0470578
1 250 10000 345.732 0.120809
0.707107 250 10000 266.539 0.0888465
0.5 250 10000 207.841 0.0993491
0.25 250 10000 138.458 0.0217869
1 250 5000 345.269 0
0.707107 250 5000 266.712 0.0776033
0.5 250 5000 208.087 0.0933989
0.25 250 5000 138.647 0.0262553
1 250 6000 345.802 0.106445
0.707107 250 6000 266.746 0.0831136
0.5 250 6000 207.937 0.0830466
0.25 250 6000 138.632 0.0294644
1 250 7000 345.777 0.118027
0.707107 250 7000 266.57 0.0949449
0.5 250 7000 207.97 0.0859241
0.25 250 7000 138.569 0.01037
1 250 8000 345.801 0.107069
0.707107 250 8000 266.564 0.0779339
0.5 250 8000 207.958 0.0863925
0.25 250 8000 138.54 0.0296573
1 250 9000 345.65 0.11318
0.707107 250 9000 266.661752892565 0
0.5 250 9000 207.834 0.0858597
0.25 250 9000 138.474 0.0239267
1 275 10000 352.808 0.1088
0.707107 275 10000 272.713 0.104216
0.5 275 10000 214.046 0.060406
0.25 275 10000 145.896 0.0291384
1 275 5000 352.884 0.110124
0.707107 275 5000 273.054 0.0920727
0.5 275 5000 214.49 0.080306
0.25 275 5000 146.1 0.0160495
1 275 6000 352.857 0.114957
0.707107 275 6000 273.021 0.100023
0.5 275 6000 214.434 0.087739
0.25 275 6000 146.087 0.0293017
1 275 7000 352.945 0.104178
0.5 275 7000 214.351 0.085486
0.25 275 7000 146.013 0.0310382
1 275 8000 352.906 0.140046
0.707107 275 8000 272.863 0.104738
0.5 275 8000 214.332 0.0841166
0.25 275 8000 145.992 0.0211151
1 275 9000 352.775 0.117284
0.707107 275 9000 272.851 0.0854648
0.5 275 9000 214.215 0.0797255
0.25 275 9000 145.948 0.0250447
1 300 10000 359.643 0.115245
0.707107 300 10000 279.032 0.122385
0.5 300 10000 220.529 0.0597997
0.25 300 10000 153.543 0.0275333
1 300 4000 359.628 0.0974464
0.707107 300 4000 279.381 0.107506
0.5 300 4000 221.084 0.0862574
0.25 300 4000 153.717 0.0377947
1 300 5000 359.357 0.206868
0.707107 300 5000 279.31 0.107438
0.5 300 5000 221.078 0.0912271
0.25 300 5000 153.718 0.0368875
1 300 6000 359.76 0.0987968
0.707107 300 6000 279.331 0.10034
0.5 300 6000 220.983 0.0921868
0.25 300 6000 153.69 0.0295308
1 300 8000 359.635 0.13338
0.707107 300 8000 279.161 0.102264
0.5 300 8000 220.832 0.0825433
0.25 300 8000 153.558 0.0450306
1 300 9000 359.552 0.100704
0.707107 300 9000 279.129 0.114864
0.5 300 9000 220.773 0.0923896
0.25 300 9000 153.574 0.0381777
1 325 4000 366.367 0.110755
0.5 325 4000 227.657 0.0678025
0.25 325 4000 161.571 0.0354744
1 325 5000 366.141 0.30243
0.707107 325 5000 285.731 0.0843471
0.5 325 5000 227.72 0.0747019
0.25 325 5000 161.538 0.0311822
1 325 6000 366.474 0.110504
0.707107 325 6000 285.672 0.101661
0.5 325 6000 227.656 0.0799285
0.25 325 6000 161.484 0.0160104
1 325 7000 366.363 0.107072
0.707107 325 7000 285.561 0.0941462
0.5 325 7000 227.541 0.084978
0.25 325 7000 161.434 0.0459868
1 325 8000 366.176 0.0947015
0.707107 325 8000 285.421 0.102069
0.5 325 8000 227.483 0.104595
0.25 325 8000 161.383 0.0389185
1 325 9000 366.127 0.0907534
0.707107 325 9000 285.305 0.100525
0.5 325 9000 227.388 0.0984046
0.25 325 9000 161.393 0.0195151
