# y=sqrt(m0/m) temperature[K] pressure[bar] T_cv[meV/molecule] T_cv_error[meV/molecule]
1 125 10000 296.341 0.134595
0.707107 125 10000 231.298 0.101161
0.5 125 10000 177.078 0.0658946
0.25 125 10000 104.718 0.103189
1 125 3000 295.318 0.185441
0.707107 125 3000 230.944 0.105494
0.5 125 3000 177.029 0.0634875
0.25 125 3000 104.951 0.0941819
1 125 4000 295.44 0.182797
0.707107 125 4000 230.994 0.0947374
0.5 125 4000 177.038 0.068536
0.25 125 4000 104.951 0.0945916
1 125 5000 295.635 0.21397
0.707107 125 5000 231.048 0.096421
0.5 125 5000 177.056 0.0628734
0.25 125 5000 104.898 0.0925972
1 125 6000 295.737 0.162129
0.707107 125 6000 231.046 0.0983074
0.5 125 6000 177.013 0.0624335
0.25 125 6000 104.849 0.0952509
1 125 7000 295.999 0.15667
0.707107 125 7000 231.152 0.0933672
0.5 125 7000 177.043 0.0552827
0.25 125 7000 104.804 0.0969174
1 125 8000 296.058 0.153672
0.707107 125 8000 231.224 0.0939424
0.5 125 8000 177.074 0.0610061
0.25 125 8000 104.792 0.0988267
1 125 9000 296.015 0.135593
0.707107 125 9000 231.176 0.103641
0.5 125 9000 177.064 0.0749729
0.25 125 9000 104.765 0.101299
1 150 10000 310.914 0.0882506
0.707107 150 10000 240.208 0.108007
0.5 150 10000 183.563 0.0997002
0.25 150 10000 110.878 0.0809341
1 150 3000 310.259 0.155851
0.707107 150 3000 240.172 0.112921
0.5 150 3000 183.74 0.0924118
0.25 150 3000 111.215 0.081265
1 150 4000 310.427 0.151919
0.707107 150 4000 240.178 0.112688
0.5 150 4000 183.74 0.0914878
0.25 150 4000 111.198 0.08137
1 150 5000 310.533 0.158031
0.707107 150 5000 240.219 0.112428
0.5 150 5000 183.748 0.0920324
0.25 150 5000 111.158 0.0753834
1 150 6000 310.502 0.110189
0.707107 150 6000 240.214 0.107517
0.5 150 6000 183.703 0.0969959
0.25 150 6000 111.108 0.0822335
1 150 7000 310.71 0.110656
0.707107 150 7000 240.309 0.114481
0.5 150 7000 183.786 0.0999119
0.25 150 7000 111.136 0.0862359
1 150 8000 310.776 0.100931
0.707107 150 8000 240.317 0.105489
0.5 150 8000 183.696 0.0956488
0.25 150 8000 111.004 0.0748023
1 150 9000 310.83 0.101925
0.707107 150 9000 240.215 0.106757
0.5 150 9000 183.596 0.0967362
0.25 150 9000 110.921 0.0748711
1 175 10000 322.342 0.0640662
0.707107 175 10000 247.768 0.0894435
0.5 175 10000 189.836 0.093026
0.25 175 10000 117.375 0.0621852
1 175 6000 322.041 0.0836507
0.707107 175 6000 247.867 0.0974156
0.5 175 6000 189.944 0.0840168
0.25 175 6000 117.55 0.0646574
1 175 7000 322.168 0.0863278
0.707107 175 7000 247.88 0.0934455
0.5 175 7000 189.96 0.0883627
0.25 175 7000 117.52 0.0623765
1 175 8000 322.324 0.0725636
0.707107 175 8000 247.899 0.0908599
0.5 175 8000 190.015 0.0902835
0.25 175 8000 117.563 0.0670647
1 175 9000 322.122 0.0918092
0.707107 175 9000 247.757 0.0888315
0.5 175 9000 189.825 0.0919282
0.25 175 9000 117.424 0.0682146
1 200 10000 331.778 0.0996711
0.707107 200 10000 254.57 0.103306
0.5 200 10000 195.853 0.0689568
0.25 200 10000 124.09 0.053119
1 200 5000 331.553 0.0791943
0.707107 200 5000 254.691 0.0903915
0.25 200 5000 124.292 0.0637992
1 200 6000 331.803 0.0844861
0.707107 200 6000 254.741 0.106417
0.5 200 6000 196.16 0.0676032
0.25 200 6000 124.345 0.0592439
1 200 7000 331.687 0.0968332
0.707107 200 7000 254.619 0.0970338
0.5 200 7000 195.988 0.0711924
0.25 200 7000 124.198 0.0625886
1 200 8000 331.717 0.0752614
0.707107 200 8000 254.717 0.0974405
0.5 200 8000 196.017 0.0665831
0.25 200 8000 124.238 0.0631036
1 200 9000 331.797 0.0956536
0.707107 200 9000 254.616 0.104295
0.5 200 9000 195.961 0.0710521
0.25 200 9000 124.148 0.0571613
1 225 10000 339.698 0.115632
0.707107 225 10000 260.812 0.0918532
0.5 225 10000 201.835 0.0705493
0.25 225 10000 130.999 0.0582618
1 225 5000 339.828 0.134592
0.707107 225 5000 261.052 0.0870643
0.5 225 5000 202.084 0.0584031
