# y=sqrt(m0/m) temperature[K] pressure[bar] T_cv[meV/molecule] T_cv_error[meV/molecule]
1 250 0 348.681 0.0859021
0.707107 250 0 268.734 0.103175
0.5 250 0 209.47 0.0849552
0.25 250 0 139.153 0.0579515
1 250 10000 346.064 0.0855652
0.707107 250 10000 266.991 0.0918622
0.5 250 10000 208.247 0.0592896
0.25 250 10000 138.913 0.0577697
1 250 1000 347.751 0.120554
0.707107 250 1000 268.668 0.097728
0.5 250 1000 209.454 0.092271
0.25 250 1000 139.181 0.0462931
1 250 2000 348.096 0.116534
0.707107 250 2000 268.525 0.104408
0.5 250 2000 209.197 0.0980864
0.25 250 2000 139.155 0.0560596
1 250 3000 347.879 0.224052
0.707107 250 3000 268.269 0.0738835
0.5 250 3000 209.268 0.0693905
0.25 250 3000 139.168 0.0539855
1 250 4000 347.283 0.137769
0.707107 250 4000 267.793 0.1036
0.5 250 4000 209.069 0.0650254
0.25 250 4000 139.093 0.0530318
1 250 5000 347.053 0.145301
0.707107 250 5000 268.018 0.1218
0.5 250 5000 208.952 0.0767923
0.25 250 5000 139.09 0.0440391
1 250 6000 346.788 0.06358
0.707107 250 6000 267.649 0.12066
0.5 250 6000 208.932 0.0778882
0.25 250 6000 139.122 0.0570354
1 250 7000 346.856 0.10583
0.707107 250 7000 267.618 0.0814248
0.5 250 7000 208.602 0.0832015
0.25 250 7000 138.867 0.0643106
1 250 8000 346.476 0.136662
0.707107 250 8000 267.549 0.0998264
0.5 250 8000 208.671 0.0715179
0.25 250 8000 138.991 0.0277781
1 250 9000 347.319 0.200594
0.707107 250 9000 267.697 0.0854564
0.5 250 9000 208.523 0.0734208
0.25 250 9000 138.932 0.0713724
1 275 0 354.75 0.150879
0.707107 275 0 274.684 0.106223
0.5 275 0 215.868 0.0556751
0.25 275 0 146.72 0.0440901
1 275 1000 354.445 0.147308
0.707107 275 1000 274.506 0.0962283
0.5 275 1000 215.642 0.0864338
0.25 275 1000 146.666 0.0437723
1 275 2000 354.193 0.146271
0.707107 275 2000 274.228 0.0661903
0.5 275 2000 215.529 0.0841064
0.25 275 2000 146.652 0.0463739
1 275 3000 354.428 0.162403
0.707107 275 3000 274.495 0.0756636
0.5 275 3000 215.446 0.0362301
0.25 275 3000 146.623 0.0519116
1 275 4000 354.113 0.123782
0.707107 275 4000 273.948 0.089881
0.5 275 4000 215.383 0.0661709
0.25 275 4000 146.539 0.0457459
1 275 5000 353.655 0.103596
0.707107 275 5000 273.881 0.0984719
0.5 275 5000 215.405 0.0941989
0.25 275 5000 146.614 0.0295962
1 275 6000 354.039 0.109405
0.707107 275 6000 273.901 0.104687
0.5 275 6000 215.21 0.0709918
0.25 275 6000 146.566 0.0281598
1 275 7000 353.655333333333 0
0.707107 275 7000 273.898 0.122347
0.5 275 7000 215.31 0.0622586
0.25 275 7000 146.492 0.066812
1 275 9000 353.293 0.16425
0.707107 275 9000 273.403 0.0624469
0.5 275 9000 214.852 0.0805365
0.25 275 9000 146.387 0.0464198
1 300 0 361.332 0.155544
0.707107 300 0 280.812 0.0941801
0.5 300 0 222.233 0.0675354
0.25 300 0 154.477 0.0463453
1 300 1000 361.2 0.150392
0.707107 300 1000 280.691 0.0872866
0.5 300 1000 222.255 0.0788558
0.25 300 1000 154.367 0.0454944
1 300 2000 361.126 0.139636
0.707107 300 2000 280.737 0.0926273
0.5 300 2000 222.125 0.0761144
0.25 300 2000 154.311 0.0436472
1 300 3000 360.856 0.144624
0.707107 300 3000 280.496 0.0855304
0.5 300 3000 222.126 0.0791026
0.25 300 3000 154.316 0.0378266
1 300 4000 361.106 0.133261
0.707107 300 4000 280.543 0.114679
0.5 300 4000 221.957 0.0678835
0.25 300 4000 154.239 0.0457242
1 300 5000 360.53 0.126343
0.707107 300 5000 280.435 0.0948494
0.5 300 5000 221.897 0.0804942
0.25 300 5000 154.236 0.017028
1 300 6000 360.508 0.129606
0.707107 300 6000 280.229 0.0952647
0.5 300 6000 221.805 0.0511322
0.25 300 6000 154.236 0.0438139
1 300 7000 360.436 0.117206
0.707107 300 7000 280.015 0.112818
0.5 300 7000 221.754 0.0831738
0.25 300 7000 154.041 0.0447411
1 300 9000 360.172 0.243826
0.707107 300 9000 279.884 0.0864637
0.5 300 9000 221.5 0.0788179
0.25 300 9000 154.124 0.0496515
1 325 0 367.569 0.129757
0.707107 325 0 287.125 0.106781
0.5 325 0 228.903 0.0708712
0.25 325 0 162.272 0.0346225
1 325 10000 366.748 0.123381
0.707107 325 10000 286.352 0.0697749
0.5 325 10000 228.21 0.0788282
0.25 325 10000 161.863 0.0220919
1 325 1000 367.409 0.125165
0.707107 325 1000 287.067 0.0768882
0.5 325 1000 228.872 0.0854669
0.25 325 1000 162.161 0.0469252
1 325 2000 367.529 0.161781
0.707107 325 2000 286.861 0.0669607
0.5 325 2000 228.739 0.0600855
0.25 325 2000 162.239 0.0437821
1 325 3000 367.529 0.0944579
0.707107 325 3000 286.834 0.0975907
0.5 325 3000 228.681 0.0589813
0.25 325 3000 162.161 0.0409197
1 325 4000 367.159 0.130711
0.707107 325 4000 286.708 0.0930619
0.5 325 4000 228.687 0.0763321
0.25 325 4000 162.086 0.052821
1 325 5000 367.436 0.137994
0.707107 325 5000 286.606 0.103249
0.5 325 5000 228.588 0.0613358
0.25 325 5000 162.15 0.0596353
1 325 7000 367.198 0.148774
0.707107 325 7000 286.491 0.101025
0.5 325 7000 228.442 0.0813886
0.25 325 7000 162.005 0.0566265
1 325 8000 366.848 0.0922951
0.707107 325 8000 286.393 0.102514
0.5 325 8000 228.41 0.0815107
0.25 325 8000 161.972 0.0403051
1 350 9000 373.206 0.105467
0.707107 350 9000 292.899 0.137142
0.5 350 9000 235.066 0.078853
0.25 350 9000 169.984 0.069489
